No	단어명	CAMS약어	CAMS영문명	겹침유형	상세
2	유지	MNT	Maintenance	영문명겹침	행안부 [유지보수, 정비] 와 영문명 동일
3	주민	RESID	Resident	영문명겹침	행안부 [거주자] 와 영문명 동일
20	복제	DUPL	Duplication	영문명겹침	행안부 [복본, 중복] 와 영문명 동일
21	클래스	CLASS	Class	영문명겹침	행안부 [종목, 학급] 와 영문명 동일
22	계열	SERIES	Series	영문명겹침	행안부 [총서] 와 영문명 동일
27	소장	HOLD	Holding	영문명겹침	행안부 [보유] 와 영문명 동일
29	정정	CORRCT	Correction	영문명겹침	행안부 [교정, 보정, 시정] 와 영문명 동일
35	번지	BUNJI	Lot Number	영문명겹침	행안부 [지번] 와 영문명 동일
36	콜렉션	CLLCTN	Collection	영문명겹침	행안부 [소장품, 수집, 징수] 와 영문명 동일
40	체크	CHK	Check	영문명겹침	행안부 [수표, 점검] 와 영문명 동일
46	컨텐츠	CONTNT	Content	영문명겹침	행안부 [내용, 함량] 와 영문명 동일
47	커맨드	CMMND	Command	영문명겹침	행안부 [명령] 와 영문명 동일
49	현존	EXIST	Existence	영문명겹침	행안부 [존재] 와 영문명 동일
50	소장인	HOLDER	Holder	영문명겹침	행안부 [보유자] 와 영문명 동일
52	카운트	COUNT	Count	영문명겹침	행안부 [수] 와 영문명 동일
53	이유	REASON	Reason	영문명겹침	행안부 [사유] 와 영문명 동일
54	협정	AGRMT	Agreement	영문명겹침	행안부 [동의, 협약서] 와 영문명 동일
55	역사	HIST	History	영문명겹침	행안부 [이력] 와 영문명 동일
67	교류	EXCHNG	Exchange	영문명겹침	행안부 [교환] 와 영문명 동일
68	예고	NOTICE	Notice	영문명겹침	행안부 [공지] 와 영문명 동일
70	판단	JUDGE	Judgement	영문명겹침	행안부 [판정] 와 영문명 동일
73	판본	EDITN	Edition	영문명겹침	행안부 [권호] 와 영문명 동일
77	준칙	GUIDE	Guideline	영문명겹침	행안부 [지침] 와 영문명 동일
81	비디오	VIDEO	Video	영문명겹침	행안부 [동영상] 와 영문명 동일
83	상정	SUBMIT	Submission	영문명겹침	행안부 [제출] 와 영문명 동일
86	증정인	DONOR	Donor	영문명겹침	행안부 [기증자] 와 영문명 동일
87	액션	ACTION	Action	영문명겹침	행안부 [조치] 와 영문명 동일
89	마스터	MASTER	Master	영문명겹침	행안부 [석사] 와 영문명 동일
91	메서드	METHOD	Method	영문명겹침	행안부 [방법, 방식] 와 영문명 동일
94	현상기	DEVELP	Developer	영문명겹침	행안부 [개발자, 시행자] 와 영문명 동일
96	타당성	VALDTY	Validity	영문명겹침	행안부 [유효] 와 영문명 동일
98	색채	COLOR	Color	영문명겹침	행안부 [색상] 와 영문명 동일
99	재생	PLAY	Play	영문명겹침	행안부 [연주] 와 영문명 동일
105	드라이브	DRIVE	Drive	영문명겹침	행안부 [구동] 와 영문명 동일
107	워커	WORKER	Worker	영문명겹침	행안부 [근로자] 와 영문명 동일
108	라이센스	LICENS	License	영문명겹침	행안부 [라이선스, 면허] 와 영문명 동일
117	타겟	TARGET	Target	영문명겹침	행안부 [대상] 와 영문명 동일
120	편집자	EDITOR	Editor	영문명겹침	행안부 [편집기] 와 영문명 동일
122	감독관	SUPVSR	Supervisor	영문명겹침	행안부 [감독자, 감리원] 와 영문명 동일
125	세척	CLEAN	Cleaning	영문명겹침	행안부 [청소] 와 영문명 동일
130	포지션	POSITN	Position	영문명겹침	행안부 [위치] 와 영문명 동일
136	획득	ACQUIRE	Acquisition	영문명겹침	행안부 [양수, 취득] 와 영문명 동일
138	오브젝트	OBJECT	Object	영문명겹침	행안부 [객체] 와 영문명 동일
139	어셋	ASSET	Asset	영문명겹침	행안부 [자산] 와 영문명 동일
