한글	출현수	영문약어	영문명	도메인분류	비고
서고	90	STACK	Stack		문서 보존 서고
유지	52	MNT	Maintenance		보존환경 유지 50건 / 유지일 2건 [검토완료]
주민	41	RESID	Resident		주민(등록)
시청각	41	AUDVS	Audio Visual		시청각 기록물 (오디오·비디오·필름·사진) [검토완료]
상자	33	BOX	Box		
영구	27	PERM	Permanent		보존기간 영구
필름	20	FILM	Film		
스캐닝	19	SCAN	Scanning		
준영구	14	SMPERM	Semi-permanent		보존기간 준영구 [검토완료]
미상	14	UNKN	Unknown		
공기질	14	AIRQ	Air Quality		서고 환경
소장처	13	HOLDR	Holding Location		소장처/소장기관
원어	13	ORGWD	Original Word		원어
구술	13	ORAL	Oral		구술 기록
대통령	12	PRSDT	President		
비밀	11	SECR	Secret		비밀(보안등급)
납본	11	LGDPST	Legal Deposit		납본
초안	10	DRAFT	Draft		
띄어쓰기	10	SPACNG	Spacing		
복제	10	DUPL	Duplication		
클래스	9	CLASS	Class		OOP 클래스
계열	9	SERIES	Series		
시소러스	9	THSRS	Thesaurus		시소러스
종이	9	PAPER	Paper		
해쉬	8	HASH	Hash		해쉬=해시
서열	8	RANK	Rank		
소장	8	HOLD	Holding		소장(보유)
감염	8	INFCT	Infection		바이러스 감염
정정	8	CORRCT	Correction		
디지털	8	DGTL	Digital		
지도	8	MAP	Map		
총독부	7	GOVGEN	Government-General		조선총독부 (총독문서 7건은 별도 코멘트정정 필요) [검토완료]
데몬	7	DMON	Daemon		
육안	7	NKDEYE	Naked Eye		확정(2026-05-19): Naked Eye 유지. 육안검수→육안검사 통일
콜렉션	7	CLLCTN	Collection		콜렉션=컬렉션
메타	7	META	Meta		
볼륨	6	VOL	Volume		
백신	6	VACCN	Vaccine		
체크	6	CHK	Check		
시대	6	ERA	Era		
봉투	6	ENVLP	Envelope		
자기	6	MAGNET	Magnetic		자기(테이프) — 확인필요
비교	5	CMPR	Comparison		
컨텐츠	5	CONTNT	Content		컨텐츠=콘텐츠
커맨드	5	CMMND	Command		
질의어	5	QRYWD	Query Word		
현존	5	EXIST	Existence		
소장인	5	HOLDER	Holder		소장인
통권	5	TOTVOL	Total Volume		통권(누적 권호)
카운트	5	COUNT	Count		
이유	5	REASON	Reason		
협정	5	AGRMT	Agreement		
역사	4	HIST	History		
유출	4	LEAK	Leak		
편철	4	FILING	Filing		편철
디지털화	4	DGTLZ	Digitalization		
광디스크	4	OPTDSK	Optical Disk		
헤더	4	HEADER	Header		
그림	4	PICTR	Picture		
서브	4	SUB	Sub		
서면	4	WRITTN	Written		
녹음	4	SNDREC	Sound Recording		
질의	4	QUERY	Query		
소화	4	FIRESP	Fire Suppression		소화(소방) — 확인필요
교류	4	EXCHNG	Exchange		
예고	4	NOTICE	Notice		
아카이브	3	ARCV	Archive		
판단	3	JUDGE	Judgement		
플래그	3	FLAG	Flag		
경광등	3	WRNLMP	Warning Lamp		
판본	3	EDITN	Edition		
대외비	3	CONFID	Confidential		대외비(보안)
컴포넌트	3	COMPNT	Component		
이중	3	DOUBLE	Double		
준칙	3	GUIDE	Guideline		준칙
세항	3	SUBITM	Sub Item		
추적	3	TRACE	Trace		
오디오	3	AUDIO	Audio		
비디오	3	VIDEO	Video		
주변	3	PERIPH	Peripheral		
상정	3	SUBMIT	Submission		상정 — 확인필요
