No	영문컬럼명	타입	길이	컬럼수	코멘트종수	코멘트변형(빈도순)	제안표준한글명	1차판정	판정근거
1	REMARK	VARCHAR2	500	147	2	비고(144) | 표지(2) | [코멘트없음](1)	비고	분리?	핵심명사 상이: 비고 / 표지
2	ARCH_PLACE	VARCHAR2	2	63	10	보존시설(47) | 보존시설(RG052)(4) | 보존시설 : A=서울, B=부산, C=대전, D=성남(3) | 보존시설 (RG052)(2) | 보관장소코드(1) | 보존시설(2023추가)(1) | 보존장소(1) | 장기보존시설(1) | 보존장소(C:대전,B:부산,D:성남)(1) | 건축장소(1) | [코멘트없음](1)	보존시설	분리?	핵심명사 상이: 보존시설 / 보관장소코드 / 보존장소 / 장기보존시설
3	KIKWANCODE	VARCHAR2	10	60	6	처리기관코드(41) | 기관코드(9) | 처리과코드(5) | 인계인수-처리과코드(2) | 검토기관코드(1) | 생산기관코드(1) | [코멘트없음](1)	처리기관코드	통일	코멘트 포함관계(수식어 가감)
4	SCHE_SEQ_NO	NUMBER	8	50	3	스케줄링일련번호(45) | SCHE순번번호(3) | 스케줄링번호(2)	스케줄링일련번호	분리?	핵심명사 상이: 스케줄링일련번호 / 스케줄링번호
5	DOCTYPE	VARCHAR2	1	38	8	기록물형태(19) | 기록물형태_RG001(A:문서대장 , B도면, C사진/필름, D녹음/동영상, E카드, G국무회의록)(4) | 기록물형태(RG001)(4) | 기록물형태 (RG001 - M:정부간행물, O:일반도서, P:총독부간행물)(2) | 기록물구분코드(RG001)(2) | 기록물유형(2) | 기록물형태(일반, 도면등)(2) | 문서유형(1) | [코멘트없음](2)	기록물형태	분리?	핵심명사 상이: 기록물형태 / 기록물구분코드 / 문서유형
6	SEQ_NO	NUMBER	8	31	3	일련번호(23) | 순번번호(7) | 순번(1)	일련번호	통일	표기변형/음차/영문누출 차이만
7	ADD_FILE_ID	VARCHAR2	32	31	2	추가파일아이디(17) | 첨부파일ID(14)	추가파일아이디	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
8	UNI_ORG_COD	VARCHAR2	10	30	3	통합기관코드(28) | 자체관리통합기관코드 변경이력(1) | 기관코드(1)	통합기관코드	통일	코멘트 포함관계(수식어 가감)
9	DHOUSECODE	VARCHAR2	10	30	3	자료관코드(24) | 기관코드(3) | 접수기관(2) | [코멘트없음](1)	자료관코드	분리?	핵심명사 상이: 자료관코드 / 기관코드 / 접수기관
10	PRODYEAR	VARCHAR2	4	29	3	생산년도(23) | 생산시작년도(3) | 연도(2) | [코멘트없음](1)	생산년도	분리?	핵심명사 상이: 생산년도 / 생산시작년도 / 연도
11	USR_ID	VARCHAR2	20	26	5	사용자ID(20) | 유저아이디(3) | 발행자ID(1) | 사용자(1) | ID(1)	사용자ID	분리?	핵심명사 상이: 유저아이디 / 사용자
12	TRANSYEAR	VARCHAR2	4	22	4	이관년도(16) | 접수년도(4) | 번역년도(1) | 인수년도(1)	이관년도	통일?	형식단어 동일(년도)·핵심어 차이 — 확인
13	MNGNO	VARCHAR2	10	21	3	기록물관리번호(14) | 관리번호(4) | OD보존매체관리번호(1) | [코멘트없음](2)	기록물관리번호	통일	코멘트 포함관계(수식어 가감)
14	SKL_DIV_COD	VARCHAR2	35	21	2	기능분류코드(19) | SKLDIV코드(1) | [코멘트없음](1)	기능분류코드	통일	표기변형/음차/영문누출 차이만
15	RU_NO	VARCHAR2	10	21	2	의뢰서번호(20) | 보존처리의뢰서번호(1)	의뢰서번호	통일	코멘트 포함관계(수식어 가감)
16	RU_DIV	VARCHAR2	2	20	3	의뢰서구분{처리,반출,반입}(11) | 의뢰서구분(6) | 의뢰서구분{처리,반출,반입} 01:정리 02:소독 03:서고 04:반출 05:반입 06:소독반출 07:M/F배치 08:복제M/F배치 09:매체서고 10:보존매체서고 11:서고(이송) 30:장기보존매체서고(3)	의뢰서구분{처리,반출,반입}	통일	코멘트 포함관계(수식어 가감)
17	MBSID	VARCHAR2	12	20	3	이관기본목록SID(16) | 이관철ID(3) | 이관기본목록 SID(1)	이관기본목록SID	통일	표기변형/음차/영문누출 차이만
18	ARID	VARCHAR2	9	19	2	전거레코드ID(17) | ARID(2)	전거레코드ID	통일	표기변형/음차/영문누출 차이만
19	TRANS_NO	VARCHAR2	6	18	4	이관일련번호(12) | 접수번호(4) | 변환번호(1) | 일련번호(1)	이관일련번호	분리?	핵심명사 상이: 이관일련번호 / 접수번호 / 변환번호 / 일련번호
20	DESC_CLASS_ID	VARCHAR2	12	18	3	기술분류ID(13) | 기술CLASS아이디(2) | 기본목록ID(2) | [코멘트없음](1)	기술분류ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
21	PROC_COND	VARCHAR2	2	18	3	처리상태(14) | 처리상태(SV100)(2) | 처리상태(01:의뢰 02:보류 03:반출 04:인수 05:반입)(2)	처리상태	통일	표기변형/음차/영문누출 차이만
