단어명	영문약어	영문명	형식단어	도메인	표준여부	설명
1	ONE	ONE	N		Y	숫자1
10	TEN	TEN	N		N	숫자10.  보존기간 10년에서 10.   예) 보존기간10년
1회섭취참고량	RAFOS	Reference Amount For One Serving	N		Y	一回攝取參考量.  만 3세 이상 소비계층이 통상적으로 소비하는 식품별 1회 섭취량과 시장조
2	TWO	TWO	N		Y	숫자2
20	TWTY	TWENTY	N		N	숫자20.  보존기간 20년에서 20.  예) 보존기간20년
2차	SND	SECONDARY	N		Y	예) 2차
3	THRE	THREE	N		Y	숫자3
30	THTY	THIRTY	N		N	숫자30.  보존기간 30년에서 30.   예) 보존기간30년
3차	THD	THIRD	N		N	예) 3차
4	FOUR	FOUR	N		Y	숫자4
4차	FTH	FOURTH	N		N	예) 4차
5	FIVE	FIVE	N		Y	숫자5
6	SIX	SIX	N		Y	숫자6
ACK값	ACK	ACKNOWLEDGE	Y		N	승인,확인,인수,인가  예) 기록물인수 - 이관목록인계(RG) - ACK값
ALERO	ALRO	ALERO	N		N	알레로.  예)ALERO 아카이브키, ALERO파일, ALERO등록오류메시지
API	API	APPLICATION PROGRAMMING INTERFACE	N		Y	소프트웨어 애플리케이션을 개발하기 위한 여러 가지 함수의 집합
BRM	BRM	BUSINESS REFERENCE MODEL	N		N	기관의 기능을 서비스 및 업무처리절차에 따라 체계적으로 구조화한 업무기능분류체계
BRMS	BRMS	BUSINESS REFERENCE MODEL SYSTEM, BRMS	N		N	기능분류체계를 필요로 하는 업무관리시스템, 기록관리시스템 등 각각의 정보시스템들에게 분류체
CD	CDSC	COMPACT DISC	N		Y	콤펙트디스크
CLASS	CLASS	Class in Object Oriented Programming	N		N	객체 지향 프로그램에서 속성과 기능을 포함한 단위
CMS	CMS	CMS	N		N	1. 자금 관리 서비스 (Cash Management Service) 
2. 디지털화 되어
CSS	CSS	Cascading Style Sheets	N		N	웹페이지를 꾸미려고 작성하는 코드
C클래스	C	C CLASS	N		N	예) C클래스시작IP, C클래스종료IP
DB	DB	DATABASE	N		N	예) DB서버주소
DRM	DRM	Digital rights management	N		N	디지털 저작권 관리
DVD	DVD	DIGITAL VIDEO DISK	N		N	디지털 비디오 디스크(지름 12cm의 일반 콤팩트디스크 크기의 디스크 1장에 콤팩트디스크의
FAX	FAX	FACSIMILE	N		N	팩스, 팩시밀리, Facsimile, Fax Machine. 문서를 전기신호로 바꾸어 전송
GCC	GCC	GOVERMENT COMPUTER CENTER	N		N	행정자치부
GIS	GIS	Geographic Information System	N		Y	GIS. 지리정보시스템(Geographic Information System) 지도에 관한
HTML	HTML	Hypertext Markup Language	N		Y	HTML. 하이퍼링크를 사용하는 컴퓨터 언어. 홈페이지 제작에 주로 사용하는 언어로 표시가
IP	IP	Internet Protocol	N		Y	IP. OSI 모델의 제3계층(네트워크층)에 해당되는 프로토콜로 IP계층에 따라 다른 네트
IPC	IPC	INTERNATIONAL PATENT CLASSIFICATION	N		N	국제특허분류(IPC) :  특허 문헌의 기술 내용은 국제 특허 분류(IPC)에 따라 분류됩
IP주소	IPADR	INTERNET PROTOCOL ADDRESS	Y		N	인터넷으로 연결된 모든 컴퓨터에 주어지는 고유의 식별 번호 주소
