token	freq	sample_cols
ID	969	comtecopseq.next_id; j_attachfile.file_id; object_taget_data.rctr_id
CD	882	object_taget_data.prdctn_sys_cd; object_taget_data.trdv_cd; object_taget_data.clsf_schm_se_cd
NM	491	comtecopseq.tbl_nm; j_attachfile.file_nm; object_taget_data.clsf_schm_nm
DT	458	object_taget_data.prdctn_dt; object_taget_data.crt_dt; object_taget_data.reg_dt
FILE	376	j_attachfile.file_id; j_attachfile.file_seq; j_attachfile.file_nm
YN	372	j_attachfile.del_yn; object_taget_data.drc_yn; object_taget_data.orgnl_mnsc_yn
RCTR	368	object_taget_data.rctr_id; rcfolderlist.rctr_id; tb_adarchival_dst.rctr_id
REG	302	j_attachfile.reg_date; object_taget_data.prdctn_reg_no; object_taget_data.sprt_reg_no
FLS	254	object_taget_data.fls_id; object_taget_data.fls_clsf_no; object_taget_data.fls_neob_r_cnvr_job_id
TRDV	248	object_taget_data.trdv_cd; object_taget_data.doc_no_trdv_nm; rcfolderlist.trdv_cd
YMD	247	j_attachfile.dwnld_expry_ymd; object_taget_data.enfc_ymd; object_taget_data.phtg_ymd
ACPTN	247	object_taget_data.acptn_year; object_taget_data.acptn_year_seq; object_taget_data.ritm_acptn_seq
NO	241	object_taget_data.prdctn_reg_no; object_taget_data.sprt_reg_no; object_taget_data.prdctn_inst_reg_no
SE	239	object_taget_data.clsf_schm_se_cd; object_taget_data.pbrc_reg_se_cd; object_taget_data.new_pbrc_se_cd
TYPE	229	object_taget_data.pbrc_dtl_type_cd; object_taget_data.adr_type; object_taget_data.spcl_pbrc_type
STTS	215	object_taget_data.neob_cnvr_stts; object_taget_data.dflp_cnvr_stts; object_taget_data.rls_clgn_prgrs_stts
YEAR	208	object_taget_data.acptn_year; object_taget_data.acptn_year_seq; object_taget_data.prdctn_year
SEQ	207	j_attachfile.file_seq; object_taget_data.acptn_year_seq; object_taget_data.ritm_acptn_seq
PRDCTN	188	object_taget_data.prdctn_sys_cd; object_taget_data.prdctn_year; object_taget_data.prdctn_dt
TRNSF	186	object_taget_data.trnsf_neob_cnvr_stts; tb_adarchivalobj.trnsf_prgrs_stts; tb_adarchivalobj.trnsf_ymd
RITM	175	object_taget_data.ritm_id; object_taget_data.ritm_sz; object_taget_data.ritm_pgno
CNT	163	j_attachfile.dwnld_cnt; j_attachfile.dwnld_lmt_cnt; object_taget_data.atch_cnt
RSN	155	object_taget_data.secu_clsf_rsn; object_taget_data.pdc_rsn; object_taget_data.acs_stng_rsn
PRSR	152	object_taget_data.old_pbrc_prsr_pd; object_taget_data.prsr_pstn; object_taget_data.sret_rmv_pbrc_prsr_pstn
PBRC	144	object_taget_data.pbrc_reg_se_cd; object_taget_data.pbrc_dtl_type_cd; object_taget_data.old_pbrc_prdctn_inst_nm
RLS	135	object_taget_data.rls_grd; object_taget_data.rls_lmt_part; object_taget_data.rls_mmt
CLSF	134	object_taget_data.clsf_schm_se_cd; object_taget_data.clsf_schm_id; object_taget_data.clsf_schm_nm
PRCS	132	tb_crntfctnfolder.pdst_ntfctn_prcs_stts; tb_crntfctnfolder.pdst_ntfctn_prcs_rslt_stts; tb_dfdscdhist.prcs_inst_cd
