구분	영문약어	단어명	스키마등장수	비고
매칭	ABL	폐지	5	
매칭	ABNR	이상	1	
매칭	ABRV	약어	4	
매칭	ACCUM	누적	3	
매칭	ACNT	계정	10	
매칭	ACPT	수용	2	
매칭	ACPTN	인수	247	
매칭	ACPTR	인수자	25	
매칭	ACS	접근	32	
매칭	ACTN	조치	7	
매칭	ADAF	행정박물	12	
매칭	ADD	추가	8	
매칭	ADDR	주소	9	
매칭	ADPRV	찬반	3	
매칭	ADR	시청각기록물	10	
매칭	AFCH	변경후	65	
매칭	AFTR	이후	5	
매칭	AGE	연령	1	
매칭	AGND	안건	6	
매칭	AGRE	동의	3	
매칭	AJMT	조정	2	
매칭	ALCT	할당	8	
매칭	ALM	알람	1	
매칭	ALTMNT	배정	2	
매칭	ANCMNT	고시	5	
매칭	ANNN	통보자	4	
매칭	API	API	13	
매칭	APLCN	적용	28	
매칭	APLCNT	신청자	1	
매칭	APLY	신청	55	
매칭	APPL	출원	7	
매칭	APRP	충당	2	
매칭	APRTN	책정	13	
매칭	APRV	승인	25	
매칭	AREA	면적	1	
매칭	ARNGMT	정리	13	
매칭	ARSM	자료관	3	
매칭	ARTCL	항목	2	
매칭	ASMT	과제	6	
매칭	ASNM	가명	6	
매칭	ASSC	연관	1	
매칭	ATCH	첨부	48	
매칭	ATCL	조항	2	
매칭	ATPCL	비정형	1	
매칭	ATRZ	결재	4	
매칭	AUTHRT	권한	15	
매칭	AUTO	자동	7	
매칭	AUTZR	승인자	22	
매칭	BDT	본문	1	
매칭	BEHV	행위	4	
매칭	BFCH	변경전	71	
매칭	BFR	이전	16	
매칭	BGNG	시작	57	
매칭	BKNO	권호수	21	
매칭	BKSH	서가	53	
매칭	BM	기능분류	14	
매칭	BOX	상자	16	
매칭	BRDT	생년월일	1	
매칭	BRM	BRM	3	
매칭	BRTH	출생	1	
매칭	BSC	기본	1	
매칭	CALENDAR	달력	1	
매칭	CAMERA	카메라	1	
매칭	CARD	카드	23	
매칭	CAUSE	계기	2	
매칭	CBPR	기증자	2	
매칭	CD	코드	882	
매칭	CEA	정수점검	5	
매칭	CERT	인증	1	
매칭	CESE	중단	2	
매칭	CFMTN	확정	22	
매칭	CHC	선택	1	
매칭	CHCK	점검	46	
매칭	CHCKR	검수자	8	
매칭	CHG	변경	59	
매칭	CHNRG	변경자	16	
매칭	CHRC	특성	1	
매칭	CHS	추적	6	
매칭	CHWH	변경사유	6	
매칭	CIPHER	암호	1	
매칭	CLASS	CLASS	2	
매칭	CLBN	공동	4	
매칭	CLCT	수집	1	
매칭	CLGN	재분류	72	
매칭	CLOUD	클라우드	3	
매칭	CLR	접수자	3	
매칭	CLSF	분류	134	
매칭	CMIT	위원회	7	
매칭	CMPTN	완료	56	
매칭	CN	내용	90	
매칭	CND	조건	2	
매칭	CNSLTN	협의	2	
매칭	CNT	수	163	
매칭	CNTN	접속	6	
매칭	CNVR	변환	67	
매칭	COL	컬럼	5	
매칭	COLM	열	12	
매칭	COLOR	색상	1	
매칭	COMM	공통	8	
매칭	CORE	핵심	1	
매칭	CPCT	용량	19	
매칭	CPYR	저작권	8	
매칭	CRCM	경위	2	
매칭	CRLTN	배포	9	
매칭	CRRC	정정	21	
매칭	CRST	현황	3	
매칭	CRT	생성	44	
매칭	CRTR	기준	25	
매칭	CRYN	반입	14	
매칭	CSS	CSS	1	
매칭	CTFE	인증서	11	
매칭	CUT	컷	5	
매칭	CYCL	차수	18	
매칭	DATA	자료	18	
매칭	DATE	날짜	8	
매칭	DAY	일	2	
매칭	DB	DB	2	
매칭	DCDT	건	2	
매칭	DCDV	문서과	5	
매칭	DCF	철	1	
매칭	DCRD	불일치	1	
매칭	DEL	삭제	38	
매칭	DEPT	부서	82	
매칭	DESC	기술	9	
매칭	DESCN	의결	4	
매칭	DETL	세부	3	
매칭	DFLP	문서보존포맷	18	
매칭	DLBDC	심의서	8	
매칭	DLBR	심의	41	
매칭	DLCN	심의회	23	
매칭	DLRY	배부	9	
매칭	DMG	훼손	13	
매칭	DMND	요청	59	
매칭	DOC	문서	75	
매칭	DPOS	배치	24	
매칭	DRC	전자기록물	33	
매칭	DRET	지시	7	
매칭	DRM	DRM	1	
매칭	DSCD	폐기	98	
매칭	DSCT	폐간	1	
매칭	DSCTN	내역	7	
매칭	DSGN	지정	13	
매칭	DSPS	처분	3	
매칭	DSPTCH	발신	3	
매칭	DST	파기	8	
매칭	DT	일시	458	
매칭	DTL	상세	33	
매칭	DTRB	분배	1	
매칭	DUTY	의무	1	
매칭	DWNLD	다운로드	9	
매칭	ECNM	경제	1	
매칭	ECNT	개수	15	
매칭	EDIT	편집	6	
매칭	ELCT	전자	15	
매칭	EML	이메일	3	
매칭	ENCPT	암호화	1	
매칭	END	종료	69	
매칭	ENFC	시행	15	
매칭	ENNC	유무	3	
매칭	EQPMNT	장비	3	
매칭	ERR	오류	119	
매칭	ESTB	제정	1	
매칭	ETC	기타	20	
매칭	ETL	외부	6	
매칭	EVL	평가	55	
매칭	EXCEL	엑셀	5	
매칭	EXCL	제외	1	
매칭	EXCSS	부설	12	
매칭	EXPC	예상	10	
매칭	EXPLN	설명	26	
매칭	EXPRY	만료	3	
매칭	EXST	존재	15	
매칭	EXTN	확장자	4	
매칭	EXTR	추출	1	
매칭	FAIL	실패	3	
매칭	FILE	파일	376	
매칭	FILM	필름	4	
매칭	FIVE	5	5	
매칭	FIX	고정	4	
매칭	FLFMT	수행	7	
매칭	FLNM	성명	2	
매칭	FLR	층	5	
매칭	FLS	기록물철	254	
매칭	FLUP	후속	3	
매칭	FNCT	기능	25	
매칭	FNPR	비치기록물	11	
매칭	FNTY	기능유형	2	
매칭	FORM	형태	4	
매칭	FOUR	4	5	
매칭	FQ	빈도	5	
매칭	FRNS	비치	24	
매칭	FRST	최초	6	
매칭	FTH	4차	1	
매칭	FTR	전문검색	1	
매칭	GENR	일반	1	
매칭	GIFT	선물	4	
매칭	GOVDEPT	부처	2	
매칭	GRD	등급	17	
매칭	GRDS	근거	8	
매칭	GRNT	부여	8	
매칭	GROUP	그룹	40	
매칭	GVRN	정부	2	
매칭	HASH	해쉬	19	
매칭	HELP	도움말	1	
매칭	HG	높이	1	
매칭	HGHRK	최상위	12	
매칭	HNDV	인계	63	
매칭	HOLD	보유	31	
매칭	HOPE	희망	2	
매칭	HR	시간	6	
매칭	HSMT	사료	1	
매칭	HSTRY	이력	25	
매칭	ID	아이디	969	
매칭	IDNTY	확인	6	
매칭	IDTF	식별자	6	
매칭	IGI	검수	47	
매칭	IMG	이미지	6	
매칭	IMPL	집행	1	
매칭	IMPLC	구현	2	
매칭	IMPR	불가	7	
매칭	INCT	도입	2	
매칭	INDX	색인	5	
매칭	INFC	감염	15	
매칭	INFO	정보	28	
매칭	INPT	입력	9	
매칭	INQ	조회	3	
매칭	INSP	검사	9	
매칭	INST	기관	125	
매칭	INSTL	설치	10	
매칭	INTR	검사자	1	
매칭	IP	IP	6	
매칭	IPADR	IP주소	13	
매칭	ISPR	발급자	2	
매칭	ISR	발행자	2	
매칭	ISSU	발급	1	
매칭	IWD	색인어	1	
매칭	JBGD	직급	43	
매칭	JBPS	직위	49	
매칭	JOB	작업	126	
매칭	JVM	JVM	1	
매칭	KEY	키	10	
매칭	KKR	KKR	1	
매칭	KND	종류	2	
매칭	LANG	언어	6	
매칭	LAOR	법령	4	
매칭	LAST	최종	21	
매칭	LBL	라벨	1	
매칭	LDGR	대장	9	
매칭	LEFT	좌측	1	
매칭	LEV	레벨	11	
매칭	LGN	로그인	14	
매칭	LINE	라인	9	
매칭	LINK	연계	35	
매칭	LIST	목록	84	
매칭	LMT	제한	38	
매칭	LNKG	연결	10	
매칭	LOG	로그	8	
매칭	LRG	대	6	
매칭	LTBR	경광등	2	
매칭	LWPR	하위	6	
매칭	MAIN	주요	6	
매칭	MASK	MASK	1	
매칭	MASS	대용량	1	
매칭	MBRC	위원	13	
매칭	MBY	주체	2	
매칭	MCHN	기계	4	
매칭	MD	매체	37	
매칭	MDCN	약품	1	
매칭	MDFCN	수정	31	
매칭	MDFR	수정자	1	
매칭	MDTR	치료	45	
매칭	MEMO	메모	10	
매칭	MENU	메뉴	22	
매칭	META	메타	3	
매칭	MF	MF	13	
매칭	MGR	마이그레이션	3	
매칭	MID	중	7	
매칭	MKR	제조사	3	
