영문약어	빈도	사전등록	사전단어명	한글후보_단일컬럼	샘플컬럼
ID	969	Y	아이디	아이디(1)	comtecopseq.next_id; j_attachfile.file_id
CD	882	Y	코드		object_taget_data.prdctn_sys_cd; object_taget_data.trdv_cd
NM	491	Y	명		comtecopseq.tbl_nm; j_attachfile.file_nm
DT	458	Y	일시		object_taget_data.prdctn_dt; object_taget_data.crt_dt
FILE	376	Y	파일		j_attachfile.file_id; j_attachfile.file_seq
YN	372	Y	여부		j_attachfile.del_yn; object_taget_data.drc_yn
RCTR	368	Y	기록관		object_taget_data.rctr_id; rcfolderlist.rctr_id
REG	302	Y	등록		j_attachfile.reg_date; object_taget_data.prdctn_reg_no
FLS	254	Y	기록물철		object_taget_data.fls_id; object_taget_data.fls_clsf_no
TRDV	248	Y	처리과		object_taget_data.trdv_cd; object_taget_data.doc_no_trdv_nm
YMD	247	Y	일자		j_attachfile.dwnld_expry_ymd; object_taget_data.enfc_ymd
ACPTN	247	Y	인수		object_taget_data.acptn_year; object_taget_data.acptn_year_seq
NO	241	Y	번호		object_taget_data.prdctn_reg_no; object_taget_data.sprt_reg_no
SE	239	Y	구분	구분(1)	object_taget_data.clsf_schm_se_cd; object_taget_data.pbrc_reg_se_cd
TYPE	229	Y	유형	유형(1)	object_taget_data.pbrc_dtl_type_cd; object_taget_data.adr_type
STTS	215	Y	상태		object_taget_data.neob_cnvr_stts; object_taget_data.dflp_cnvr_stts
YEAR	208	Y	년도		object_taget_data.acptn_year; object_taget_data.acptn_year_seq
SEQ	207	Y	순번	순번(23)	j_attachfile.file_seq; object_taget_data.acptn_year_seq
PRDCTN	188	Y	생산		object_taget_data.prdctn_sys_cd; object_taget_data.prdctn_year
TRNSF	186	Y	이관		object_taget_data.trnsf_neob_cnvr_stts; tb_adarchivalobj.trnsf_prgrs_stts
RITM	175	Y	기록물건		object_taget_data.ritm_id; object_taget_data.ritm_sz
CNT	163	Y	수	수(1)	j_attachfile.dwnld_cnt; j_attachfile.dwnld_lmt_cnt
RSN	155	Y	사유		object_taget_data.secu_clsf_rsn; object_taget_data.pdc_rsn
PRSR	152	Y	보존		object_taget_data.old_pbrc_prsr_pd; object_taget_data.prsr_pstn
PBRC	144	Y	기록물		object_taget_data.pbrc_reg_se_cd; object_taget_data.pbrc_dtl_type_cd
RLS	135	Y	공개		object_taget_data.rls_grd; object_taget_data.rls_lmt_part
CLSF	134	Y	분류		object_taget_data.clsf_schm_se_cd; object_taget_data.clsf_schm_id
PRCS	132	Y	처리		tb_crntfctnfolder.pdst_ntfctn_prcs_stts; tb_crntfctnfolder.pdst_ntfctn_prcs_rslt_stts
PD	129	Y	기간		object_taget_data.old_pbrc_prsr_pd; object_taget_data.sret_prot_pd
JOB	126	Y	작업		object_taget_data.pdf_job_id; object_taget_data.neob_cnvr_dmnd_job_id
INST	125	Y	기관		object_taget_data.prdctn_inst_reg_no; object_taget_data.old_pbrc_prdctn_inst_nm
RCPT	123	Y	접수		object_taget_data.prdctn_rcpt_se_cd; tb_crattachfile.ritm_rcpt_sn
ERR	119	Y	오류		object_taget_data.scnn_err_se_cd; object_taget_data.scnn_err_cn
OPNN	113	Y	의견		tb_adarchivalobjdscd.prdctn_trdv_opnn; tb_adarchivalobjdscd.splst_srng_opnn
MNG	109	Y	관리		object_taget_data.acptn_mng_no; object_taget_data.rls_mng_cmptn_yn
VIRS	103	Y	바이러스		tb_mgattachfile.virs_exst_yn; tb_mgattachfile.virs_mdtr_rslt
DSCD	98	Y	폐기		tb_adarchivalobj.dscd_yn; tb_adarchivalobj.dscd_pbanc_no
PRSL	95	Y	열람		object_taget_data.prsl_scpe; object_taget_data.prsl_scpe_mng_cmptn_yn
SN	93	Y	일련번호		rcfolderlist.fls_reg_sn; tb_adarchival_dst.adaf_dst_sn
CN	90	Y	내용	내용(1)	object_taget_data.adr_cn_smmr; object_taget_data.scnn_err_cn
LIST	84	Y	목록		object_taget_data.rls_list_stng_cd; object_taget_data.list_rls_yn
TASK	82	Y	업무		object_taget_data.task_pic_nm; object_taget_data.task_mng_ritm_se_cd
DEPT	82	Y	부서		object_taget_data.rgtr_dept_id; object_taget_data.rgtr_dept_nm
USER	78	Y	사용자		object_taget_data.sret_clgn_user_dept_nm; object_taget_data.sret_clgn_user_jbps_jbgd
SYS	75	Y	시스템		object_taget_data.prdctn_sys_cd; object_taget_data.prdctn_sys_ritm_id
DOC	75	Y	문서		object_taget_data.old_pbrc_doc_no; object_taget_data.doc_no
SCHM	73	Y	체계		object_taget_data.clsf_schm_se_cd; object_taget_data.clsf_schm_id
CLGN	72	Y	재분류		object_taget_data.last_rls_clgn_year; object_taget_data.rls_clgn_prgrs_stts
BFCH	71	Y	변경전		tb_crfolderchghist.bfch_ttl; tb_crfolderchghist.bfch_fls_type_se_cd
END	69	Y	종료		object_taget_data.ritm_end_page; object_taget_data.prtn_pd_end_ymd
CNVR	67	Y	변환		object_taget_data.neob_cnvr_stts; object_taget_data.dflp_cnvr_stts
AFCH	65	Y	변경후		tb_crfolderchghist.afch_ttl; tb_crfolderchghist.afch_fls_type_se_cd
RVW	65	Y	검토		tb_rcmissingmemo.rvw_opnn; tb_rdfoldercreat.rvw_opnn
STRG	64	Y	저장		tb_adarchivalattachfile.strg_path; tb_adarchivalattachfile.strg_file_nm
TKOV	64	Y	인수인계		tb_crfolder.tkov_se_cd; tb_crfolder.tkov_trdv_cd
HNDV	63	Y	인계		tb_adarchivalobj.trnsf_hndv_trdv; tb_crfoldertakov.hndv_untk_card_id
PIC	62	Y	담당자		object_taget_data.task_pic_nm; tb_bkcrrc.crrc_pic
RGTR	62	Y	등록자		object_taget_data.rgtr_id; object_taget_data.rgtr_dept_id
NTFCTN	62	Y	통보		tb_adarchivalobj.pdst_ntfctn_yn; tb_crfolder.pdst_ntfctn_yn
TRGT	62	Y	대상	대상(1)	tb_batchworkhist.job_trgt_file_nm; tb_batchworkqueue.job_trgt_file_nm
DMND	59	Y	요청		object_taget_data.neob_cnvr_dmnd_job_id; tb_dfrcpttransflist.trnsf_aprv_dmnd_ntfctn_yn
CHG	59	Y	변경		tb_crfolderchghist.chg_hstry_no; tb_crfolderchghist.chg_ymd
RSLT	58	Y	결과		object_taget_data.dlbr_rslt; tb_crfolder.igi_rslt_cd
BGNG	57	Y	시작		object_taget_data.ritm_bgng_page; object_taget_data.prtn_pd_bgng_ymd
UNIT	57	Y	단위		tb_rsrvdoc.unit_task_se_fnct; tb_transfdetailinfostathist.trnsf_trgt_unit_asmt_card_cnt
CMPTN	56	Y	완료		object_taget_data.scnn_cmptn_yn; object_taget_data.scan_insp_cmptn_yn
EVL	55	Y	평가		tb_adarchivalobjdscd.evl_dlcn_opnn; tb_dfdscddlbr.evl_dlbdc_no
APLY	55	Y	신청		tb_rdfolderprsldtl.prsl_aply_no; tb_rdfolderprsldtl.prsl_aply_prgrs_stts_cd
RPT	53	Y	보고		tb_adarchivalobj.adaf_pdst_rpt_stts; tb_adarchivalobj.pdst_rpt_ymd
BKSH	53	Y	서가		tb_adarchivalobj.bksh_id; tb_adarchivalobj.bksh_pstn
SZ	51	Y	크기		j_attachfile.file_sz; object_taget_data.ritm_sz
ORGD	51	Y	원문		object_taget_data.orgd_id; tb_dftkovrecordlist.orgd_id
SPCL	50	Y	특수		object_taget_data.spcl_pbrc_type; object_taget_data.spcl_pbrc_info
JBPS	49	Y	직위		object_taget_data.autzr_jbps_jbgd_nm; object_taget_data.rgtr_jbps_jbgd_nm
ATCH	48	Y	첨부		object_taget_data.atch_cnt; tb_adarchivalattachfile.atch_file_seq
NEOB	47	Y	NEO		object_taget_data.neob_cnvr_stts; object_taget_data.neob_cnvr_dmnd_job_id
PATH	47	Y	경로		tb_adarchivalattachfile.strg_path; tb_adarchivalobjimg.img_file_path
IGI	47	Y	검수		tb_crfolder.igi_rslt_cd; tb_crfolder.igi_cn
PDST	46	Y	생산현황		tb_adarchivalobj.adaf_pdst_rpt_stts; tb_adarchivalobj.pdst_rpt_ymd
CHCK	46	Y	점검		tb_mgbksh.last_chck_year; tb_mgfolder.last_chck_year
STK	45	Y	서고		tb_adarchivalobj.stk_id; tb_gvrnprdl.stk_id
MDTR	45	Y	치료		tb_mgattachfile.virs_mdtr_rslt; tb_rdattachfile.virs_mdtr_yn
CRT	44	Y	생성		object_taget_data.crt_dt; tb_adarchivalobj.pdst_rpt_file_crt_yn
JBGD	43	Y	직급		object_taget_data.autzr_jbps_jbgd_nm; object_taget_data.rgtr_jbps_jbgd_nm
DLBR	41	Y	심의		object_taget_data.rls_dlbr_prgrs_stts; object_taget_data.dlbr_rslt
PRGRS	40	Y	진행		object_taget_data.rls_clgn_prgrs_stts; object_taget_data.rls_dlbr_prgrs_stts
GROUP	40	Y	그룹		tb_crfolder.group_prsr_pd_cd; tb_dfdscdopnn.group_dsgn_yn
RQSTR	40	Y	요청자		tb_rcmissingmemo.rqstr_opnn; tb_rdrlsclgnopnnexcel.rqstr_id
TTL	39	Y	제목	제목(1)	object_taget_data.crrc_ttl; tb_crdistr.dlry_ttl
RJCT	39	Y	반려		object_taget_data.rjct_yn; tb_crfolder.rjct_yn
LMT	38	Y	제한		j_attachfile.dwnld_lmt_cnt; object_taget_data.rls_lmt_part
DEL	38	Y	삭제		j_attachfile.del_yn; tb_dfdscdopnn.elct_file_del_pic_id
TTLE	38	Y	표제		object_taget_data.orgnl_ttle; object_taget_data.ofcl_ttle
MD	37	Y	매체		object_taget_data.md_rmt; tb_crfolder.md_rmt
LINK	35	Y	연계		tb_batchworkhist.link_srvr_ipadr; tb_batchworkhist.link_srvr_potno
ORGNL	34	Y	원본		object_taget_data.orgnl_ttle; object_taget_data.orgnl_mnsc_yn
DTL	33	Y	상세		object_taget_data.pbrc_dtl_type_cd; tb_adarchivalobj.acptn_dtl
DRC	33	Y	전자기록물		object_taget_data.drc_yn; tb_crfolder.drc_yn
STMD	32	Y	저장매체	저장매체(8)	object_taget_data.stmd; tb_crfolder.stmd
ACS	32	Y	접근		object_taget_data.acs_se_cd; object_taget_data.acs_stng_rsn
SRVR	32	Y	서버		tb_batchworkhist.link_srvr_ipadr; tb_batchworkhist.link_srvr_potno
PFMR	32	Y	행위자		tb_rcmissingmemo.pfmr_type_cd; tb_rcmissingmemo.pfmr_seq
RMT	31	Y	포맷		object_taget_data.md_rmt; tb_crfolder.md_rmt
OLD	31	Y	구		object_taget_data.old_pbrc_prdctn_inst_nm; object_taget_data.old_pbrc_doc_no
MDFCN	31	Y	수정		object_taget_data.mdfcn_ver_no; object_taget_data.mdfcn_yn
HOLD	31	Y	보유		tb_adarchivalobj.frst_hold_ecnt; tb_adarchivalobj.now_hold_ecnt
OPRTR	30	Y	작업자		tb_dftransfhist.oprtr_id; tb_mgbkshdpos.oprtr_id
PAGE	29	Y	쪽		object_taget_data.ritm_bgng_page; object_taget_data.ritm_end_page
RMRK	29	Y	비고	비고(28)	tb_adarchivalobj.rmrk; tb_adarchivalobjdscd.rmrk
RPRS	29	Y	대표		tb_crntfctnrcptresult.rprs_inst_cd; tb_crntfctnacptnresult.rprs_inst_cd
OFCL	28	Y	공식		object_taget_data.ofcl_ttle; rcfolderlist.ofcl_ttle
INFO	28	Y	정보		object_taget_data.spcl_pbrc_info; object_taget_data.spcl_pbrc_info_two
OPDS	28	Y	광디스크		tb_dfdscdopnn.opds_stts_idnty_yn; tb_mgfolder.opds_strg_stts_cd
APLCN	28	Y	적용		tb_mgfolder.aplcn_clsf_schm_id; tb_rdattachfile.virs_mdtr_aplcn_yn
PSTN	26	Y	위치		object_taget_data.prsr_pstn; object_taget_data.sret_rmv_pbrc_prsr_pstn
EXPLN	26	Y	설명	설명(3)	tb_adarchivalobj.etc_form_expln; tb_adarchivalobj.etc_qomt_expln
PART	25	Y	부분		object_taget_data.rls_lmt_part; tb_crrecord.rls_lmt_part
ACPTR	25	Y	인수자		tb_adarchivalobj.trnsf_acptr_nm; tb_crdistr.acptr_nm
