구분	RAMP영문약어	RAMP단어명	MOIS영문약어	MOIS단어명	조치
영문약어동일_단어명다름	SNGL	단일	SNGL	단독	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	IS	국제표준	IS	할부	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	ELCT	전자	ELCT	전자계약	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	NMPR	인원	NMPR	국가유공자	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	RULE	규칙	RULE	규정	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	DSTR	재난	DSTR	재해	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	SLR	소독	SLR	판매자	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	FAX	FAX	FAX	팩스	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	SCHM	체계	SCHM	스키마	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	PRSR	보존	PRSR	압력	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	SEQ	순번	SEQ	순서	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	FORM	형태	FORM	양식	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	INTR	검사자	INTR	도입	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	APRS	신청결과	APRS	감정	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	RSRV	보류	RSRV	예비	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	OTP	공개구분	OTP	OTP	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	CHNL	중국어	CHNL	채널	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	SQL	질의	SQL	SQL	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	DRCT	디렉토리	DRCT	직접	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	GNRL	종합	GNRL	일반	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	SPVR	감독관	SPVR	감리원	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	SND	2차	SND	파견	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	MSTR	다중세션전송	MSTR	석사	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	DUTY	의무	DUTY	직무	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	ELPS	종사자	ELPS	경과	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	PRST	증정	PRST	현황	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	ENTRY	응모자	ENTRY	응모	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	SPS	후원자	SPS	배우자	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	RDRT	축소율	RDRT	감소율	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	SHR	공유	SHR	지분	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	DPRT	배치율	DPRT	감가상각률	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	SHT	시트	SHT	촬영	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	PRNT	인쇄	PRNT	부모	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	PKG	일괄	PKG	패키지	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	SPVS	감독	SPVS	감리	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	TRTM	취급	TRTM	대우	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	MMS	자기매체서고	MMS	MMS	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	FCTR	요소	FCTR	요인	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	STSF	만족	STSF	충족	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	EXP	보내기	EXP	수출	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	PSTP	연기	PSTP	유예	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	RECR	재생성	RECR	정격전류	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
영문약어동일_단어명다름	RVVL	재생	RVVL	회생	RAMP 단어명→MOIS로 변경 또는 영문약어 변경
