분류	단어명	컬럼	원본값(raw)	DB값(raw)	원본norm	DB norm	비고
DEAD_IN_DB	법정리			(DB에 있음)			차수=2차(2020-12)(폐기)
NOISE_NBSP	구조물	설명		'構造物. 일정한 설계에 따라 여러 가지 재료를 얽어서 만든 물건. 건물, 다리, 축대, 터널 따위가 있다.			
NOISE_NBSP	사무실	설명		'事務室.\xa0사무를 보는 방'			
NOISE_NBSP	출처	설명		'出處. \xa0사물이나 말 따위가 생기거나 나온 근거'			
NOISE_NBSP	도면	영문명		'Floor\xa0Plan'			
NOISE_NBSP	수치	영문명		'Numerical\xa0Value'			
NOISE_NBSP	어음	영문명		'Promissory\xa0Note'			
NOISE_NBSP	진료비	영문명		'Medical\xa0Service Fee'			
NOISE_NBSP	측정소	영문명		'Measuring\xa0Station'			
NOISE_TAB	감소율	영문명		'\tReduction Rate'			
NOISE_TAB	결제자	영문명		'\tSettlement Agent'			
NOISE_TAB	굴착	영문명		'\tExcavation'			
NOISE_TAB	상임	영문명		'\tStanding'			
NOISE_TAB	수도광열비	영문명		'\tWater, Light And Heat Expenses'			
NOISE_WS_EDGE	1회섭취참고량	설명		'一回攝取參考量. 만 3세 이상 소비계층이 통상적으로 소비하는 식품별 1회 섭취량과 시장조사 결과 등을 바탕			
NOISE_WS_EDGE	개시	설명		'開始. 행동이나 일 따위를 시작함 '			
NOISE_WS_EDGE	구조물	설명		'構造物. 일정한 설계에 따라 여러 가지 재료를 얽어서 만든 물건. 건물, 다리, 축대, 터널 따위가 있다.			
NOISE_WS_EDGE	버튼	설명		'Button. 모바일 화면이나 프로그램 화면에서 특정 기능을 수행하기 위해 탭(터치)이나 마우스 클릭으로 			
NOISE_WS_EDGE	법인	설명		'法人. 자연인이 아니면서 법에 의하여 권리 능력이 부여 되는 사단과 재단 '			
NOISE_WS_EDGE	자주식	설명		'自走式. 엔진, 바퀴 따위를 갖추어 스스로 움직이는 방식 '			
NOISE_WS_EDGE	작성	설명		'作成. 서류, 원고 따위를 만듦 '			
NOISE_WS_EDGE	접근	설명		'接近. 가까이 다가가거나 기억 장치에 데이터를 쓰거나 기억 장치에 들어 있는 데이터를 탐색하고 읽는 과정 			
NOISE_WS_EDGE	접수	설명		'接受. 신청이나 신고 따위를 구두(口頭)나 문서로 받음 '			
NOISE_WS_EDGE	해외	설명		'海外. 바다의 밖 또는 다른 나라를 이르는 말 '			
NOISE_WS_EDGE	감소율	영문명		'\tReduction Rate'			
NOISE_WS_EDGE	결제자	영문명		'\tSettlement Agent'			
NOISE_WS_EDGE	굴착	영문명		'\tExcavation'			
NOISE_WS_EDGE	매출원가율	영문명		'Cost of Goods Sold (COGS) Ratio '			
NOISE_WS_EDGE	민원인	영문명		'Civil Petitioner '			
NOISE_WS_EDGE	법규	영문명		'Laws And Regulations '			
NOISE_WS_EDGE	법원	영문명		'Court '			
NOISE_WS_EDGE	상임	영문명		'\tStanding'			
NOISE_WS_EDGE	수도광열비	영문명		'\tWater, Light And Heat Expenses'			
NOISE_WS_EDGE	업로드	영문명		'Upload '			
NOISE_WS_EDGE	의견	영문명		'Opinion '			
NOISE_WS_EDGE	의사	영문명		'Doctor '			
NOISE_WS_EDGE	자동차등록번호	영문명		'Vehicle Registration Number '			
NOISE_WS_EDGE	적설량	영문명		'Snowfall '			
NOISE_WS_EDGE	전문분야	영문명		'Area Of Specialty '			
NOISE_WS_EDGE	정상	영문명		'Normal '			
NOISE_WS_EDGE	직업	영문명		'Career '			
NOISE_WS_EDGE	직위	영문명		'Job Position '			
NOISE_WS_EDGE	탈락	영문명		'Elimination '			
NOISE_WS_EDGE	행정동	영문명		'Dong (Administrative District) '			
