분류	단어명	항목	원본값	DB값	비고
🔴폐기인데DB있음	법정리			(DB에 적재됨)	차수=2차(2020-12)(폐기) 사유=폐기후 제정
🟠컬럼불일치	간접비	이음동의어	간접생산비, 공통비용	간접생산비,공통비용	
🟠컬럼불일치	감소율	영문명	Reduction Rate		
🟠컬럼불일치	감소율	설명	減少率. 줄어드는 비율	Reduction Rate	
🟠컬럼불일치	감소율	형식단어여부	Y	減少率. 줄어드는 비율	
🟠컬럼불일치	감소율	도메인분류명	율	Y	
🟠컬럼불일치	감소율	이음동의어		율	
🟠컬럼불일치	결제자	영문명	Settlement Agent		
🟠컬럼불일치	결제자	설명	決濟者. 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일을 하는 사람	Settlement Agent	
🟠컬럼불일치	결제자	형식단어여부	N	決濟者. 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일을 하는 사람	
🟠컬럼불일치	결제자	도메인분류명		N	
🟠컬럼불일치	관계	이음동의어	관련, 연관, 유관	관련,연관,유관	
🟠컬럼불일치	구매	이음동의어	구입, 매입	구입,매입	
🟠컬럼불일치	굴착	영문명	Excavation		
🟠컬럼불일치	굴착	설명	掘鑿. 땅이나 암석 따위를 파고 뚫음	Excavation	
🟠컬럼불일치	굴착	형식단어여부	N	掘鑿. 땅이나 암석 따위를 파고 뚫음	
🟠컬럼불일치	굴착	도메인분류명		N	
🟠컬럼불일치	명	이음동의어	이름, 명칭	이름,명칭	
🟠컬럼불일치	비율	이음동의어	율, 률	율,률	
🟠컬럼불일치	상임	영문명	Standing		
🟠컬럼불일치	상임	설명	常任. 일정한 일을 늘 계속하여 맡음	Standing	
🟠컬럼불일치	상임	형식단어여부	N	常任. 일정한 일을 늘 계속하여 맡음	
🟠컬럼불일치	상임	도메인분류명		N	
🟠컬럼불일치	상호	이음동의어	상호명, 상호명칭	상호명,상호명칭	
🟠컬럼불일치	소유자	이음동의어	소유주, 소유인	소유주,소유인	
🟠컬럼불일치	수도광열비	영문명	Water, Light And Heat Expenses		
🟠컬럼불일치	수도광열비	설명	水道光熱費. 판매와 관리 부문에서 사용된 수도료, 전기료, 가스비, 연료비 따위를 이르는 말	Water, Light And Heat Expenses	
🟠컬럼불일치	수도광열비	형식단어여부	Y	水道光熱費. 판매와 관리 부문에서 사용된 수도료, 전기료, 가스비, 연료비 따위를 이르는 말	
🟠컬럼불일치	수도광열비	도메인분류명	비용	Y	
🟠컬럼불일치	수도광열비	이음동의어		비용	
🟠컬럼불일치	우편번호	이음동의어	기초구역번호, 우편일련번호, 우편번호일련번호	기초구역번호,우편일련번호,우편번호일련번호	
🟠컬럼불일치	이메일	금칙어	메일, EMAIL, e-mail	메일,EMAIL,e-mail	
🟠컬럼불일치	일련번호	이음동의어	순번, 연번	순번,연번	
🟠컬럼불일치	저자	이음동의어	글쓴이, 지은이	글쓴이,지은이	
🟠컬럼불일치	파일	금칙어	화일, FILE	화일,FILE	
🟠컬럼불일치	팝업	이음동의어	팝업창, 팝업메뉴	팝업창,팝업메뉴	
