매뉴얼	일반문서	역사기록물	총독부	시청각	정부간행물	행정박물	구술	해외기록물	민간기록물	일반도서	이중보존매체	비전자	전자기록물	기록물철	기록물건	BSID	DSID	단위과제	기능분류	보존기간	공개구분	이관	인수	RFID	NEO	PDF/A	장기보존포맷	보존매체	M/F	광디스크	DVD	마이크로필름	스캐닝	디지털화	분류체계	ISAD	ISO	전거
(1장) 소개.txt	1	3	4	12	4	10	0	3	3	1	0	8	6	7	5	0	0	2	2	17	0	22	26	2	17	8	6	6	7	0	0	2	10	10	5	0	0	0
(2장) 인수.txt	0	0	0	4	0	0	0	0	0	0	0	7	10	9	14	0	0	0	0	4	0	168	211	3	16	0	4	0	0	0	0	0	0	0	0	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A01_인수_2016.v1.0.txt	2	0	2	2	2	2	0	0	0	2	0	20	22	5	7	0	0	0	0	22	0	114	63	11	8	0	0	1	0	0	0	0	0	0	0	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A02_등록_2018.v1.5.txt	29	9	10	20	14	12	14	18	11	11	17	0	0	22	25	0	0	2	0	18	16	25	27	30	0	0	0	17	0	0	0	0	0	0	4	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A03_기획수집_2016.v1.0.txt	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A04_기록관리기준_2016.v1.0.txt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	17	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A05_기록물정리_2016.v1.0.txt	0	0	0	3	8	3	3	0	1	0	1	0	0	2	0	0	0	0	0	2	0	0	15	10	0	0	0	1	0	0	0	0	3	0	0	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A06_서고_2018.v1.4.txt	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	2	0	9	23	27	0	0	0	10	6	0	0	0	6	6	0	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A07_보존_2016.v1.0.txt	1	0	0	54	0	25	0	0	0	0	0	2	9	15	0	0	0	0	0	0	0	0	65	31	2	0	0	1	0	0	0	0	0	0	0	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A08_보존포맷_2016.v1.0.txt	0	0	0	0	0	0	0	0	0	0	0	0	4	10	2	0	0	0	0	20	0	3	0	10	1	1	20	49	0	0	0	0	0	0	0	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A09_매체수록_2018.v1.4.txt	0	0	0	12	2	0	0	3	0	0	0	0	0	13	11	0	0	0	0	1	14	0	47	47	0	0	0	99	173	0	2	0	100	83	0	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A10_기술재분류_2016.v1.0.txt	3	0	0	5	3	2	0	0	0	0	0	24	35	39	22	0	0	0	1	57	35	12	20	3	3	0	0	3	3	0	0	0	3	0	10	0	0	6
CAMS 사용자 매뉴얼_CAMS_manual_A11_열람활용_2016.v1.0.txt	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A12_검색_2018.v1.3.txt	0	0	1	1	1	7	0	0	1	0	1	0	5	13	8	0	0	0	0	10	3	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_A13_통계_2016.v1.0.txt	11	0	0	27	11	26	0	22	1	0	0	0	3	0	0	0	0	6	0	11	0	7	8	13	0	0	0	0	0	0	0	12	0	0	0	0	0	0
CAMS 사용자 매뉴얼_CAMS_manual_B01_전거데이터_2016.v1.0.txt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96
CAMS 사용자 매뉴얼_CAMS_manual_D01_지원관리_2016.v1.0.txt	0	0	0	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
