형식suffix	한글명	비정상컬럼수	비정상도메인분포
일자	시행일자	3	STRING(14)×3
일시	정정일시	3	DATE(10)×3
일시	배포일시	2	STRING(8)×2
여부	스캔검사완료여부	2	STRING(2)×2
일자	생산현황보고일자	2	CHAR(8)×2
일자	변경전시행일자	2	STRING(14)×2
일자	변경후시행일자	2	STRING(14)×2
일시	접수시작일시	2	STRING(15)×2
일시	접수종료일시	2	STRING(15)×2
일자	검색일자	2	STRING(17)×2
일시	생성일시	1	CHAR(14)×1
일자	파기등록일자	1	CHAR(8)×1
일자	종료일자	1	CHAR(8)×1
일자	입수일자	1	CHAR(8)×1
일자	이관일자	1	CHAR(8)×1
일자	비치종료일자	1	CHAR(8)×1
일자	인수일자	1	STRING(14)×1
일자	폐기일자	1	CHAR(8)×1
일시	작업시작일시	1	CHAR(14)×1
일시	작업종료일시	1	CHAR(14)×1
여부	통보여부	1	CHAR(2)×1
일자	통보일자	1	CHAR(4)×1
여부	결과반영여부	1	STRING(2)×1
일자	처리과의견등록일자	1	CHAR(8)×1
일자	전문요원의견등록일자	1	CHAR(8)×1
여부	MF상태확인여부	1	STRING(2)×1
여부	광디스크상태확인여부	1	STRING(2)×1
여부	품질검사여부	1	STRING(2)×1
일자	접수처리일자	1	STRING(14)×1
일자	발행일자	1	CHAR(8)×1
여부	서가배치여부	1	STRING(2)×1
일시	최초등록일시	1	STRING(50)×1
일시	최종수정일시	1	STRING(50)×1
일시	수정일시	1	STRING(35)×1
여부	비전자원본폐기여부	1	STRING(2)×1
일자	선정일자	1	CHAR(8)×1
일시	비치공개일시	1	STRING(8)×1
여부	심의대상여부	1	STRING(35)×1
일자	결과등록일자	1	CHAR(8)×1
일자	회의일자	1	STRING(14)×1
여부	폐지여부	1	STRING(4)×1
일시	생산시작일시	1	STRING(8)×1
일시	생산종료일시	1	STRING(8)×1
일시	작업요청일시	1	CHAR(14)×1
일시	인증서등록일시	1	STRING(1)×1
