한글명	영문명	도메인종수	총컬럼수	최빈도메인	최빈빈도	전체도메인분포	형식suffix	기대도메인
순번	seq	8	58	INTEGER(10)	23	INTEGER(10)23 | NUMERIC(6)22 | NUMERIC(38)6 | STRING(3)2 | NUMERIC(10)2 | STRING(2)1 | NUMERIC(35)1 | NUMERIC(5)1		
변경사유	chg_rsn	5	18	STRING(100)	8	STRING(100)8 | STRING(500)4 | STRING(200)4 | STRING(4000)1 | STRING(600)1		
파일명	file_nm	4	28	STRING(500)	21	STRING(500)21 | STRING(100)3 | STRING(200)3 | STRING(256)1		
담당자명	pic_nm	4	14	STRING(256)	9	STRING(256)9 | STRING(100)3 | STRING(50)1 | STRING(40)1		
보고기록물철수	rpt_fls_cnt	4	10	NUMERIC(4)	6	NUMERIC(4)6 | NUMERIC(15)2 | NUMERIC(10)1 | NUMERIC(7)1		
보고기록물수	rpt_pbrc_cnt	4	8	NUMERIC(38)	3	NUMERIC(38)3 | NUMERIC(10)2 | NUMERIC(15)2 | NUMERIC(7)1		
오류코드	err_cd	4	7	STRING(5)	3	STRING(5)3 | STRING(1)2 | STRING(14)1 | STRING(15)1		
파일수	file_cnt	4	6	NUMERIC(6)	2	NUMERIC(6)2 | NUMERIC(10)2 | STRING(6)1 | NUMERIC(15)1		
파일아이디	file_id	4	5	STRING(19)	2	STRING(19)2 | STRING(13)1 | STRING(35)1 | STRING(60)1	아이디	STRING
기록물철아이디	fls_id	3	73	STRING(14)	70	STRING(14)70 | STRING(20)2 | STRING(19)1	아이디	STRING
비고	rmrk	3	28	STRING(100)	24	STRING(100)24 | STRING(500)3 | STRING(200)1		
파일크기	file_sz	3	27	NUMERIC(10)	25	NUMERIC(10)25 | INTEGER(10)1 | NUMERIC(15)1		
생산등록번호	prdctn_reg_no	3	17	STRING(35)	12	STRING(35)12 | STRING(13)3 | STRING(50)2	번호	STRING/NUMERIC
기록물철등록일련번호	fls_reg_sn	3	15	STRING(35)	13	STRING(35)13 | STRING(100)1 | STRING(50)1	번호	STRING/NUMERIC
수정일시	mdfcn_dt	3	15	STRING(14)	13	STRING(14)13 | STRING(35)1 | DATETIME(23)1	일시	DATETIME/STRING(14)
저장파일명	strg_file_nm	3	13	STRING(300)	7	STRING(300)7 | STRING(500)3 | STRING(1000)3		
파일경로	file_path	3	12	STRING(1000)	9	STRING(1000)9 | STRING(500)2 | STRING(200)1		
오류내용	err_cn	3	12	STRING(1000)	8	STRING(1000)8 | STRING(200)3 | STRING(2048)1		
분류체계명	clsf_schm_nm	3	11	STRING(200)	8	STRING(200)8 | STRING(35)2 | STRING(20)1		
등록일련번호	reg_sn	3	10	NUMERIC(5)	7	NUMERIC(5)7 | NUMERIC(6)2 | STRING(3)1	번호	STRING/NUMERIC
생산시스템기록물철아이디	prdctn_sys_fls_id	3	10	STRING(28)	5	STRING(28)5 | STRING(50)3 | STRING(35)2	아이디	STRING
검수내용	igi_cn	3	10	STRING(200)	6	STRING(200)6 | STRING(500)3 | STRING(4000)1		
