용어	컬럼수	도메인종수	도메인분포	PK수	NotNull수
순번	58	8	INTEGER(10)×23 | NUMERIC(6)×22 | NUMERIC(38)×6 | STRING(3)×2 | NUMERIC(10)×2 | STRING(2)×1 | NUMERIC(35)×1 | NUMERIC(5)×1	41	41
인수순번	17	2	NUMERIC(6)×15 | NUMERIC(38)×2	8	8
이관그룹순번	17	2	NUMERIC(3)×11 | NUMERIC(38)×6	12	12
문서유형순번	12	2	NUMERIC(6)×11 | NUMERIC(10)×1	0	0
분할매체순번	7	3	NUMERIC(38)×4 | NUMERIC(6)×2 | STRING(3)×1	3	3
인수인계순번	6	3	NUMERIC(3)×3 | NUMERIC(6)×2 | STRING(6)×1	6	6
오류순번	5	3	NUMERIC(10)×3 | NUMERIC(38)×1 | NUMERIC(3)×1	5	5
정렬순번	5	2	NUMERIC(9)×4 | STRING(3)×1	0	0
행위자순번	4	2	NUMERIC(6)×3 | NUMERIC(3)×1	3	3
기록물건순번	3	2	NUMERIC(6)×2 | NUMERIC(5)×1	0	0
작업순번	3	2	NUMERIC(35)×2 | NUMERIC(6)×1	1	1
일정순번	3	2	NUMERIC(10)×2 | STRING(100)×1	0	0
바이러스이력순번	3	2	NUMERIC(8)×2 | NUMERIC(10)×1	3	3
파일순번	2	2	INTEGER(10)×1 | NUMERIC(6)×1	1	1
기록물건인수순번	11	1	STRING(19)×1	7	7
인수년도순번	5	1	NUMERIC(10)×1	0	0
폐기순번	5	1	NUMERIC(6)×1	3	3
게시순번	5	1	NUMERIC(38)×1	4	4
촬영순번	4	1	NUMERIC(6)×1	3	3
첨부파일순번	3	1	NUMERIC(3)×1	3	3
생산현황보고순번	3	1	NUMERIC(6)×1	1	1
기관인수순번	3	1	NUMERIC(3)×1	2	2
기관인계순번	3	1	NUMERIC(3)×1	3	3
인계순번	3	1	NUMERIC(38)×1	3	3
서고순번	3	1	NUMERIC(3)×1	0	0
원문기록물철등록순번	2	1	STRING(50)×1	1	1
문서유형하위순번	2	1	NUMERIC(6)×1	0	0
폐기금지순번	2	1	NUMERIC(6)×1	2	2
접근순번	2	1	NUMERIC(10)×1	2	2
검색순번	2	1	NUMERIC(6)×1	2	2
서가열순번	2	1	NUMERIC(3)×1	0	0
서버순번	2	1	INTEGER(10)×1	1	1
수정순번	2	1	NUMERIC(3)×1	0	0
메뉴연결순번	2	1	NUMERIC(10)×1	1	1
상위인수순번	2	1	NUMERIC(6)×1	0	0
이관순번	2	1	STRING(2)×1	0	0
이미지등록순번	1	1	STRING(5)×1	1	1
부설순번	1	1	STRING(10)×1	1	1
이관통보순번	1	1	NUMERIC(6)×1	1	1
보류문서순번	1	1	STRING(5)×1	1	1
반려이관그룹순번	1	1	NUMERIC(3)×1	0	0
다중승인인수순번	1	1	STRING(19)×1	0	0
기록물철순번	1	1	NUMERIC(6)×1	1	1
처리순번	1	1	NUMERIC(6)×1	1	1
정보출처순번	1	1	NUMERIC(3)×1	1	1
검토의견순번	1	1	NUMERIC(6)×1	1	1
실적등록순번	1	1	NUMERIC(6)×1	1	1
발행순번	1	1	NUMERIC(2)×1	1	1
반입순번	1	1	NUMERIC(6)×1	0	0
MF서고순번	1	1	NUMERIC(3)×1	0	0
복제순번	1	1	NUMERIC(6)×1	1	1
컷순번	1	1	NUMERIC(6)×1	0	0
광디스크서고순번	1	1	NUMERIC(3)×1	0	0
반출순번	1	1	NUMERIC(6)×1	0	0
달력순번	1	1	NUMERIC(10)×1	1	1
오류로그순번	1	1	NUMERIC(10)×1	1	1
로그순번	1	1	NUMERIC(10)×1	1	1
메뉴정렬순번	1	1	NUMERIC(3)×1	0	0
게시정렬순번	1	1	NUMERIC(5)×1	0	0
담당자정렬순번	1	1	NUMERIC(5)×1	0	0
파일이력순번	1	1	NUMERIC(8)×1	1	1
이력순번	1	1	NUMERIC(6)×1	1	1
추적순번	1	1	NUMERIC(10)×1	1	1
