용어	컬럼수	비고
순번	58	
생산년도	45	
인수년도	28	
비고	28	
공식표제	25	
이관년도	22	
인수순번	17	
이관그룹순번	17	
문서유형순번	12	
파일경로	12	
기록물건인수순번	11	
인계년도	11	
기타표제	10	
공개제한부분	10	
파일해쉬값	10	
NEO변환상태	9	
재분류년도	9	
매체포맷	8	
저장매체	8	
열람범위	8	
문서보존포맷변환상태	8	
버전	8	
검색어	8	
공개재분류유형	8	
파일경로규칙	8	
보존위치	7	
특수기록물유형	7	
작업상태	7	
분할매체순번	7	
공개시기	6	
정리기술	6	
생산현황보고년도	6	
인수인계순번	6	
특수목록위치	6	
특수목록1	6	
특수목록2	6	
특수목록3	6	
최종점검년도	6	
바이러스치료파일경로	6	
인수년도순번	5	
시청각기록물유형	5	
시청각기록물내용요약	5	
구기록물보존기간	5	
수신자	5	
발신자	5	
작업구분	5	
인수인계생산년도	5	
폐기평가년도	5	
폐기순번	5	
오류순번	5	
게시순번	5	
정렬순번	5	
언어	4	
기록물건내용요약	4	
저장경로	4	
내용요약	4	
작업종료상태	4	
생산현황통보파일생성년도	4	
전송파일자료구분	4	
폐기년도	4	
기록물건NEO변환상태	4	
기록물철식별자	4	
첨부파일경로	4	
복원처리자정보	4	
행위자순번	4	
첨부파일유형	4	
원본사본구분	4	
관계파일키	4	
첨부파일관리정보	4	
배치정보	4	
촬영순번	4	
서열	4	
비치기록물이관시기	4	
열람예상빈도	4	
원본표제	3	
기록물건시작쪽	3	
기록물건종료쪽	3	
최종공개재분류년도	3	
공개재분류진행상태	3	
공개심의진행상태	3	
기록물건순번	3	
기록물철NEO재변환상태	3	
첨부파일순번	3	
작업순번	3	
생산현황보고기관	3	
생산현황보고순번	3	
기타기록물철유형	3	
기능분류체계	3	
목적분류체계	3	
생산현황통보년도	3	
전송구분	3	
변경전승인자직위직급	3	
변경후승인자직위직급	3	
변경전업무담당자	3	
변경후업무담당자	3	
변경전수신자	3	
변경후수신자	3	
일정순번	3	
기관인수년도	3	
기관인수순번	3	
기관인계순번	3	
인계순번	3	
변경후값	3	
변경전값	3	
기록물건키	3	
서고순번	3	
훼손처리결과	3	
서고관리번호부여규칙	3	
검토의견	3	
전송파일해쉬	3	
접수검수처리상태	3	
처리구분	3	
매체구분	3	
파일유형	3	
파일해쉬	3	
클라우드마이그레이션	3	
해쉬점검	3	
바이러스이력순번	3	
이메일	3	
신청년도	3	
사용자구분	3	
기록관의견	3	
파일순번	2	
등록날짜	2	
촬영장소	2	
비밀분류	2	
비밀보호기간	2	
이관NEO변환상태	2	
최종열람재분류년도	2	
비밀재분류사용자직위직급	2	
비밀해제기록물보존위치	2	
심의결과	2	
의결조건	2	
심의기한구분	2	
심의기한	2	
지시계기	2	
추진계획	2	
안건분류	2	
목록비공개근거	2	
배포범위	2	
수행상태	2	
수행문제	2	
특수기록물정보	2	
특수기록물정보2	2	
저작권유형	2	
이관진행상태	2	
생산처리과의견	2	
첨부 파일 유형	2	
평가년도	2	
폐기대상선정구분	2	
변경전예상폐기년도	2	
재책정이전보존기간	2	
재책정이후보존기간	2	
종료년도	2	
이관희망년도	2	
확정이관승인년도	2	
이관오류처리유형	2	
기록물유형	2	
이관오류구분	2	
원문기록물철등록순번	2	
발간주기	2	
업무유형	2	
배치년도	2	
예상폐기년도	2	
예상이관년도	2	
수신유형	2	
요청자의견	2	
오류메시지	2	
문서유형하위순번	2	
폐기금지순번	2	
접근순번	2	
오류컬럼	2	
반려구분	2	
처리과처리의견	2	
처리과처리공개의견	2	
결과메시지	2	
전문요원의견	2	
실적등록상태	2	
검색순번	2	
설치위치	2	
태그발행유형	2	
기록구분	2	
점검년도	2	
서가열순번	2	
폐기구분	2	
기록물건식별자	2	
보존상자아이디부여규칙	2	
연계API서버구현언어	2	
서비스구분	2	
서버순번	2	
파일키	2	
수정순번	2	
요청구분	2	
문서상세구분	2	
처리상태1	2	
처리상태2	2	
처리상태3	2	
처리상태4	2	
처리상태5	2	
처리상태6	2	
처리상태일시1	2	
처리상태일시2	2	
처리상태일시3	2	
처리상태일시4	2	
처리상태일시5	2	
처리상태일시6	2	
인증서	2	
인증서용도	2	
NEO작업구분	2	
메뉴연결순번	2	
처리상태	2	
수신오류상세	2	
요청검토의견수신유형	2	
수신결과통보유형	2	
검토의견통보유형	2	
공개의견	2	
기록물포맷	2	
처리과검토의견메모	2	
기준대상내용요약	2	
대상저장매체유형	2	
대상저장매체제조사	2	
요청상태	2	
작업시작날짜	2	
작업완료날짜	2	
인증서고유식별자	2	
인증서유형	2	
검수상태구분	2	
상위인수순번	2	
이관순번	2	
인수파일경로	2	
기능유형	2	
법령근거	2	
보존기간처리상태	2	
기록관확인점검	2	
국가기록원의견	2	
발송구분	2	
파일MASK	1	
기록관리시스템버전	1	
DB버전	1	
행정박물구분	1	
유형	1	
형태	1	
재질	1	
크기구분	1	
행정박물생산현황보고상태	1	
기증자	1	
보존장소	1	
폐기공고기술	1	
선물수령인	1	
선물기증자	1	
이관인계처리과	1	
이관인수처리과	1	
이관선정구분	1	
인수상세	1	
서가위치	1	
보존상태	1	
기타유형	1	
전문요원심사의견	1	
평가심의회의견	1	
이미지등록순번	1	
이미지파일경로	1	
썸네일경로	1	
정정담당자	1	
정정버전	1	
접수년도	1	
생산현황통보파일유형	1	
기록물철종료년도	1	
생산현황통보처리상태	1	
생산현황통보처리결과상태	1	
생산사용자명누적	1	
통보년도	1	
파일생성상태	1	
업무담당자명누적	1	
분류번호생산시작년도	1	
생산현황통보서식보고년도	1	
폐기금지유형	1	
폐기금지일	1	
폐기심의회보존기간	1	
국가기록관리위원회재책정보존기간	1	
폐기평가의견	1	
부설순번	1	
부설상태	1	
부설근거	1	
부설담당자	1	
부설버전	1	
기록관리생산년도	1	
NEO변환요청화면구분	1	
접수오류파일경로	1	
인계타임스탬프	1	
이관오류상세	1	
편집컬럼유형	1	
편집사용자직위직급	1	
이관접수오류분류	1	
접수파일정보	1	
이관상태	1	
이관통보파일생성년도	1	
이관통보순번	1	
이관통보파일유형	1	
이관통보유형	1	
이관처리상태	1	
이관파일접수상태	1	
기록물건생성상태	1	
분할매체생성상태	1	
이관파일생성상태	1	
이관규격구분	1	
이관작업상태	1	
저작권동의유형	1	
기관구분	1	
발간유형	1	
발간매체	1	
생산현황보고상태	1	
파기사유1	1	
파기사유2	1	
파기사유3	1	
간행물등록아이디유형	1	
간행물파일경로	1	
정렬	1	
바이러스치료결과	1	
스캔상태	1	
매체저장상태	1	
업무근거유형	1	
회의록년도	1	
회의록종류	1	
회의록확정	1	
내용1	1	
내용2	1	
내용3	1	
내용4	1	
보류문서년도	1	
보류문서순번	1	
단위업무구분기능	1	
임시최초구분	1	
임시2차구분	1	
임시3차구분	1	
임시4차구분	1	
하위기호테이블	1	
공문서보존기간분류기준	1	
공문서보존기간영구갑	1	
공문서보존기간영구을	1	
공문서보존기간영구	1	
공문서보존기간준영구	1	
공문서보존기간10년	1	
공문서보존기간5년	1	
공문서보존기간3년	1	
공문서보존기간2년	1	
공문서보존기간1년	1	
공개상태	1	
공개구분	1	
열람빈도	1	
최종폐기평가년도	1	
기록물건NEO재변환상태	1	
반려이관상태	1	
반려이관년도	1	
반려이관그룹순번	1	
이관공지	1	
기록물처리상태	1	
인수계획년도	1	
기록물철건구분	1	
비치담당자	1	
다중승인인수순번	1	
인계처리상태	1	
인수처리상태	1	
비전자기록물인수계획년도	1	
심의위원의견	1	
변경전공개제한부분	1	
변경후공개제한부분	1	
변경전저작권유형	1	
변경후저작권유형	1	
변경전공개목록제한부분	1	
변경후공개목록제한부분	1	
자동공개제한부분	1	
처리부서공개제한부분	1	
전문요원공개의견	1	
전문요원공개제한부분	1	
심의회공개의견	1	
심의회공개제한부분	1	
처리저작권유형	1	
처리공개목록제한부분	1	
전문요원저작권유형	1	
전문요원공개목록제한부분	1	
검토저작권유형	1	
검토공개목록제한부분	1	
심의회심의의견	1	
처리과의견	1	
확정구분	1	
선정유형	1	
이전재분류년도	1	
기록물철순번	1	
연결변경자	1	
변경전정리기술	1	
변경후정리기술	1	
요청상태문서값	1	
처리결과	1	
접수문서발신명의	1	
본문버전	1	
요청추가의견	1	
처리순번	1	
정보출처순번	1	
회의장소	1	
검토의견순번	1	
기록물회신공지	1	
실적등록순번	1	
변경전전문요원접근구분	1	
변경후전문요원접근구분	1	
부기정정년도	1	
부기정정의견	1	
회의유형	1	
결과열람대상	1	
인수인계기능구분	1	
기능파일생성상태	1	
설치용도	1	
사용상태	1	
가동상태	1	
