size	x	y	text
2.2	550	23	공문서보존기간표
2.2	621	23	기록관리기준표
2.2	737	23	단위과제보존기간
2.2	807	23	준칙관리
2.2	101	23	생산현황
2.2	347	23	기술분류
2.2	466	24	공개재분류
2.3	129	81	미사용
2.3	856	90	미사용
2.3	399	96	홈페이지서비스
2.2	101	137	기록물인수
2.3	179	140	미사용
2.2	687	142	대량기록물등록
2.2	587	142	기록물건
2.2	482	142	총독부간행물
2.2	509	142	기록물철
2.2	356	142	정부간행물
2.2	831	142	통합기관관리
2.2	959	142	기초코드관리
2.3	128	180	미사용
2.3	836	206	미사용
2.2	356	275	구술기록물
2.2	410	275	행정박물
2.2	471	275	기록물저작권
2.2	959	276	감사증적
2.2	831	276	사용자/권한 관리
2.2	687	281	시청각기록물
2.2	763	281	이중보존매체
2.2	787	281	해외기록물
2.2	356	333	이송
2.2	410	333	정수점검
2.2	166	393	RFID관리
2.2	233	393	서고
2.2	384	393	매체평가
2.2	446	394	보존매체수록
2.2	530	394	작업스케줄링
2.2	606	394	탈산
2.2	640	394	복원
2.2	730	394	전자기록물정수점검
2.3	775	398	미사용
2.3	671	440	미사용
2.2	384	458	M/F촬영
2.3	245	459	미사용
2.3	252	460	(서고배치)
2.2	232	509	반입반출
2.2	641	510	상태검사
2.2	697	510	보존포맷
2.2	755	510	종이기록물복제
2.2	869	512	열람이력
2.2	918	512	정보공개청구
2.2	1054	512	홈페이지연계
2.2	828	512	기록물검색
2.3	279	515	미사용
2.3	286	515	(반입반출)
2.2	385	523	디지털화
2.2	828	546	열람이력
2.2	167	569	서고시뮬레이션
2.3	412	576	미사용
2.3	419	576	(매체수록)
2.3	196	657	미사용
2.3	384	657	미사용
2.3	493	657	미사용
2.3	614	657	미사용
2.3	203	657	(전거)
2.3	391	657	(반출반입)
2.3	500	657	(기획수집)
2.3	621	657	(지원관리)
2.3	621	664	미사용
2.3	628	664	(전시)
2.3	383	723	미사용
2.3	391	723	(업무스케줄링)
2.3	554	785	미사용
2.3	561	785	(정수점검)
