x	y	text
939	28	작업일자
953	28	작업일자
976	28	기본목록SID
1000	28	기본목록SID
1017	28	작업일자
124	29	접수년도 (FK)
143	29	접수년도 (FK)
158	29	접수년도 (FK)
177	29	접수년도 (FK)
193	29	접수년도 (FK)
939	30	형태별통계분류코드
953	30	형태별통계분류코드
1000	30	보존매체수록유형
1017	30	보고서구분코드
224	30	처리기관코드
247	30	생산기본목록SID
271	30	생산기본목록SID (FK)
290	30	생산기본목록SID (FK)
315	30	이관년도 (FK)
124	30	생산현황서식구분 (FK)
143	30	생산현황서식구분 (FK)
158	30	생산현황서식구분 (FK)
177	30	생산현황서식구분 (FK)
193	30	생산현황서식구분 (FK)
976	30	기본목록SID카운트
939	31	기록물형태코드
953	31	생산년도(종료년도)
1000	31	보존매체수록유형순서
1017	31	상세코드1
124	32	처리기관코드 (FK)
143	32	처리기관코드 (FK)
158	32	처리기관코드 (FK)
177	32	처리기관코드 (FK)
193	32	처리기관코드 (FK)
224	32	배부접수년도
271	32	변경이력순번
290	32	생산세부목록SID (FK)
315	32	자료관코드 (FK)
976	32	등록건수
576	32	공문서순번
939	32	생산년도(종료년도)
1000	32	보존매체수록유형명
1017	32	상세코드2
247	32	생산시스템구분(RG053)
552	32	공문서순번
598	32	공문서순번
224	33	배부일련번호
290	33	변경이력순번
315	33	승인일련번호 (FK)
124	33	행번호
143	33	행번호
158	33	행번호
177	33	행번호
193	33	행번호
953	33	통계건수1
976	33	세부목록SID카운트
1032	33	통계건수1
349	33	기술분류ID
367	33	기술분류ID
386	33	DESC_CLASS_ID
642	33	기능등록년도
656	33	기능등록년도
673	33	통합기록분류코드
692	33	클래스분류코드
714	33	통합기록분류코드
1000	33	평가분류일자
524	33	SID
247	34	자료관코드 (FK)
271	34	변경전기록물제목
404	34	기본목록SID
418	34	기술분류ID
431	34	기술분류ID
780	34	접수ID
315	34	이관요청순번
576	34	공문서번호
939	34	통계건수1
953	34	통계건수2
976	34	전자여부명
1017	34	통계건수1
1032	34	통계건수2
552	34	공문서번호
598	34	공문서번호
642	35	기능분류코드
656	35	기능분류코드
1000	35	평가분류일자-년도
524	35	SID
224	35	접수일자
247	35	처리기관코드
271	35	변경후기록물제목
290	35	변경전생산등록일자
418	35	분류체계구분ID
124	35	구분
143	35	구분
158	35	구분
177	35	회의명
193	35	구분
780	35	접수이력순번
349	35	원어명
367	35	원어명
386	35	ORI_LANG_NM
576	35	공문서분류명
692	35	최종단계여부
714	35	해외기록분류코드
939	35	통계건수2
953	35	통계건수3
976	35	보존시설
1017	35	통계건수2
1032	35	통계건수3
505	35	SID
450	36	등록일련번호
552	36	공문서분류명
598	36	공문서분류명
404	36	기술비고
520	36	수정순번
625	36	SBJ_PAT_COD
656	36	변경일자
1000	36	평가분류일자-분기
124	36	총계
143	36	총계
158	36	총계
177	36	개최기관명
193	36	총계
224	36	생산기관등록번호
247	36	구기록물생산기관명
271	36	변경전기록물형태
290	36	변경후생산등록일자
418	36	분류체계ID
762	36	접수ID
780	36	접수순번
321	36	SID
349	36	콜렉션명
367	36	콜렉션명
386	36	COLLECT_NM
576	37	임시1차분류
692	37	상위클래스분류코드
714	37	보유국가코드
939	37	통계건수3
953	37	통계건수4
976	37	보존시설명
1017	37	통계건수3
1032	37	통계건수4
505	37	SID
404	37	최초등록자ID
431	37	기술계층일련번호
552	37	임시2차분류
598	37	임시분류번호
484	37	기록물유형
1000	37	기록물형태
224	37	제목
247	37	생산년도
271	37	변경후기록물형태
290	37	변경전기록물제목
315	37	수신_이관구분
124	37	영구
143	37	영구
158	37	영구
177	37	참석자
193	37	영구
450	38	용어명
762	38	통보파일명
812	38	영역분류고유번호
839	38	STND_YEAR_ID
858	38	준칙코드
876	38	준칙코드 (FK)
349	38	생산시작년도
367	38	생산시작년도
386	38	PRODSTART_YEAR
501	38	재분류유형
520	38	재분류유형
576	38	임시2차분류
625	38	삭제여부
642	38	기능분류명
656	38	상위기능분류코드
673	38	단위업무구분
692	38	클래스분류단계
714	38	보존소코드
939	38	통계건수4
953	38	통계건수5
976	38	기록물종류
1017	38	통계건수4
1032	38	통계건수5
552	38	임시3차분류
598	38	단위업무별기능
404	38	최초등록일시
418	38	최초등록자ID
470	38	공개검토구분
484	38	사용여부
780	38	신청결과구분
