size	x	y	font	text
1.2	1032	30	Gulim	작업일자
1.2	1032	32	Gulim	생산년도
1.2	520	33	Gulim	기본목론
1.2	625	33	Gulim	목적등록년도
1.2	520	35	Gulim	세부목록
1.2	625	35	Gulim	목적분류코드
1.2	501	35	Gulim	기본목론
1.2	673	36	Gulim	단위업무코드
1.2	431	36	Gulim	기술계층구분
1.2	470	36	Gulim	공개검토년도
1.2	484	36	Gulim	공개유형일련번호
1.2	315	36	Gulim	생산기본목록
1.2	501	37	Gulim	세부목록
1.2	642	37	Gulim	상위기능분류코드
1.2	673	37	Gulim	소기능분류코드
1.2	470	37	Gulim	공개검토일련번호
1.2	431	38	Gulim	기술분류명
1.2	501	39	Gulim	스케줄링일련번호
1.2	743	40	Gulim	일련번호
1.2	501	40	Gulim	공개검토년도
1.2	743	41	Gulim	접수
1.2	247	41	Gulim	기록물철분류번호
1.2	501	42	Gulim	공개검토일련번호
1.2	743	42	Gulim	접수순번
1.2	431	43	Gulim	차상위기술분류
1.2	247	45	Gulim	기록물철제목
1.2	419	52	Gulim	검토년도
1.2	419	53	Gulim	검토일련번호
1.2	419	54	Gulim	검토기관코드
1.2	484	55	Gulim	검토년도
1.2	484	56	Gulim	검토일련번호
1.2	484	57	Gulim	공개유형일련번호
1.2	625	59	Gulim	기능등록년도
1.2	625	60	Gulim	기능분류코드
1.2	501	67	Gulim	공개재분류일시
1.2	449	67	Gulim	기본목록
1.2	418	67	Gulim	기본목록
1.2	418	69	Gulim	검토년도
1.2	449	69	Gulim	세부목록
1.2	273	69	Gulim	제목
1.2	418	70	Gulim	검토일련번호
1.2	876	71	Gulim	원본기록분류코드
1.2	876	72	Gulim	통합기록분류명
1.2	743	73	Gulim	기능분류코드
1.2	449	74	Gulim	최종수정자
1.2	501	74	Gulim	최초등록일시
1.2	449	75	Gulim	최종수정일시
1.2	519	77	Gulim	기본목록
1.2	519	79	Gulim	세부목록
1.2	519	80	Gulim	수정순번
1.2	294	81	Gulim	문서관계
1.2	273	82	Gulim	기록물건분류번호
1.2	294	82	Gulim	첨부파일일련번호
