size	x	y	text
1.3	938	26	기록물유형별통계
1.3	952	26	기록물유형별생산년도통계
1.3	976	26	CAMS수집보유통계
1.3	999	26	매체수록평가
1.3	1016	26	보고용통계
1.3	1032	26	생산년도별통계
1.3	123	27	시청각기록물보존현황(RG)
1.3	142	27	보유기록물현황(RG)
1.3	157	27	시청각기록물생산현황(RG)
1.3	176	27	회의록관리현황(RG)
1.3	192	27	생산기록물현황(RG)
1.3	223	28	생산배부대장(RG)
1.3	246	28	생산기본목록(RG)
1.3	270	28	생산변경이력정보(RG)
1.3	290	28	생산기록물건변경이력대장(RG)
1.3	314	28	생산이관승인목록(RG)
1.3	575	30	79년도공문서보존기간표(CM)
1.3	552	30	84년도공문서보존기간표(CM)
1.3	598	30	64년도공문서보존기간표(CM)
1.3	348	31	군기술서(SV)
1.3	367	31	계열기술서(SV)
1.3	385	31	계열기술서변경전내역
1.3	500	31	공개재분류(SV)
1.3	519	31	공개재분류이력(SV)
1.3	624	31	과제유형(CM)
1.3	642	31	기능분류체계(CM)
1.3	656	31	기능분류체계(CM) 이력
1.3	673	31	기록물분류기준표(CM)
1.3	692	31	클래스분류체계(CM)
1.3	713	31	해외기록분류체계(CM)
1.3	403	31	철기술서(CM)
1.3	417	31	계열분류정보(CM)
1.3	430	31	기술분류(CM)
1.3	469	31	공개검토서(SV)
1.3	484	31	공개기준유형(SV)
1.3	780	32	단위과제보존기간표재심사목록(SM)
1.3	449	33	신조어불용어정보
1.3	762	34	단위과제RMS통보파일내역
1.3	742	35	BRM전송파일리스트
1.3	811	35	준칙관리_공통업무_영역분류
1.3	838	35	기준년도내역
1.3	858	35	고유업무준칙(SM)
1.3	876	35	보존기간준칙예시(SM)
1.3	107	38	기록물폐기심의서(RG)
1.3	418	47	검토기관(SV)
1.3	837	49	준칙관리_공통업무_단위업무
1.3	811	49	준칙관리_공통업무_소기능
1.3	221	49	생산현황접수(RG)
1.3	483	50	공개재분류기준서(SV)
1.3	403	54	건기술서(CM)
1.3	468	54	공개범위평가기준(SM)
1.3	273	55	생산세부목록(RG)
1.3	624	55	기관기능분류(CM)
1.3	198	56	조사연구검토서(RG)
1.3	692	57	총독부기록분류체계(CM)
1.3	552	59	92년도공문서보존기간표(CM)
1.3	858	59	공통업무처리일정표(SM)
1.3	161	60	생산현황서식대장(RG)
1.3	997	60	생산기관별통계
1.3	449	60	키워드정보
1.3	742	61	단위과제보존기간표(SM)
1.3	417	63	검토기록물(SV)
1.3	812	64	준칙관리_기관별_준칙파일
1.3	429	64	기록물기술분류이력(CM)
1.3	577	65	97년도공문서보존기간표(CM)
1.3	896	65	기술기준영역(SM)
1.3	876	66	통합관리기록분류(CM)
1.3	761	68	단위과제보존기간표접수(SM)
1.3	108	70	매체수록기록물현황(RG)
1.3	837	72	준칙관리_기준년도(공통)
1.3	348	73	군분류정보(CM)
1.3	403	74	집합기술계층(SV)
1.3	293	74	생산첨부파일정보(RG)
1.3	519	75	공개제한페이지이력(SV)
1.3	429	78	기술분류관련이력(CM)
1.3	415	78	기술분류이력(CM)
1.3	1037	80	정부간행물발간등록번호
1.3	449	80	키워드이력정보
1.3	624	80	기능대비목적분류표(CM)
1.3	936	81	파일확장자별인수건수통계내역
1.3	224	82	생산이관(RG)
1.3	958	82	행정박물기관별통계2
1.3	811	84	준칙관리_기관별_준칙년도
1.3	838	84	준칙관리_기관별_대분류
1.3	494	85	공개제한페이지(SV)
1.3	314	87	생산이관승인(RG)
1.3	474	87	보존기간재분류내역(SV)
1.3	674	87	단위업무기능분류(CM)
1.3	129	88	정부간행물생산목록통보서식(RG)
1.3	526	88	재분류내역(SV)
1.3	692	88	총독부기록분류코드표(CM)
1.3	712	88	해외기록분류코드표(CM)
1.3	382	89	생산/수집이관기관(SV)
1.3	172	89	시청각기록물생산목록(RG)
1.3	367	89	기능어이력정보
1.3	877	90	기술기준세항(SM)
1.3	154	91	행정박물보유목록(RG)
1.3	512	92	공개분류(SV)
1.3	294	92	생산세부특수목록(RG)
1.3	555	93	공문서보존기간표(CM)
1.3	206	94	마이크로필름수록현황(RG)
1.3	191	94	광디스크수록현황(RG)
1.3	437	95	기술분류임시보관함(CM)
1.3	858	95	준칙관리_기관별_단위과제
1.3	897	95	기술기준항목(SM)
1.3	349	95	기능어
1.3	959	96	행정박물기관별통계
1.3	225	97	생산이관일정(RG)
1.3	580	98	공문서보존기간기록(CM)
1.3	399	100	건정보홈페이지서비스
1.3	413	100	철정보홈페이지서비스
1.3	838	101	준칙관리_기관별_중분류
1.3	493	103	공개제한페이지내역(SV)
1.3	780	104	단위과제보존기간표재심사이력(SM)
1.3	367	105	기능어정보
1.3	274	106	생산인수인계목록
1.3	247	106	생산기본특수목록(RG)
1.3	383	108	계열관련기록(CM)
1.3	436	110	기술분류임시보관함내역(CM)
1.3	105	141	전자기록물품질검사상세(RG)
1.3	129	141	육안검수샘플링품질검사배정내역(RG)
1.3	222	141	이관기본특수목록(RG)
1.3	306	141	저장매체(SM)
1.3	321	141	저장매체오류(SM)
1.3	157	141	육안검수샘플링품질검사내역(RG)
1.3	180	144	실물확인세부목록_C
1.3	199	144	실물확인기본목록
1.3	639	147	관리세부목록(RG)
1.3	513	149	관리기본목록(RG)
1.3	977	150	MD_USER
1.3	987	150	계급(CM)
1.3	996	150	고문서문헌분류표(CM)
1.3	1011	150	역사기록분류체계(CM)
1.3	1028	150	한국지역구분보조표(CM)
1.3	1046	150	직류(CM)
1.3	1064	150	직군(CM)
1.3	962	150	MD_GROUP
1.3	487	151	총독부간행물 상세(RG)
1.3	361	151	정부간행물 전자첨부파일업로드 데이터
1.3	556	151	관리기본목록삭제데이터백업
1.3	455	151	폐간현황(RG)
1.3	616	152	관리첨부파일정보(RG)
1.3	689	152	기록물 대량등록 작업관리
1.3	708	152	임시등록기본목록(RG_DOCUMENT)
1.3	732	152	임시등록기본특수목록(RG_DOCTUK)
1.3	759	152	임시등록세부목록(RG_DETAIL)
1.3	780	152	임시등록정부간행물MASTER(RG_GOVTINFO)
1.3	416	152	정부간행물 MASTER(RG)
1.3	437	152	발간등록(RG)
1.3	885	152	정부기관(CM)
1.3	590	152	관리세부목록삭제데이터백업(RG)
1.3	863	152	통합관리기관(CM)
1.3	390	153	정부간행물 목차-주기사항(RG)
1.3	927	153	자체관리통합기관코드 변경이력
1.3	840	154	자체관리 통합기관코드
1.3	539	154	관리변경이력정보(RG)
1.3	222	155	실물확인오류내역
1.3	908	155	기관코드사용 범위설정
1.3	321	166	저장매체모니터링(SM)
1.3	223	167	실물확인요청내역
1.3	362	168	정부간행물 전자파일업로드 연계데이터
1.3	539	174	관리기본특수목록(RG)
1.3	392	175	정부간행물MASTER복본
1.3	869	175	구정부기관(CM)
1.3	994	177	데몬프로세스환경설정(CM)
1.3	1013	177	목적분류체계(CM)
1.3	1029	177	법정동(CM)
1.3	1046	177	직급(CM)
1.3	1064	177	직렬(CM)
1.3	456	177	발간등록번호 연계데이타
1.3	732	177	임시등록세부특수목록(RG_DETTUK)
1.3	977	177	대통령기록분류코드표(CM)
1.3	307	177	볼륨(SM)
1.3	962	177	기능분류오류내역
1.3	133	183	오검수유형집계내역(RG)
1.3	289	183	이관건생산내역(RG)
1.3	198	184	실물확인세부목록_P
1.3	180	186	실물확인세부목록_O
1.3	158	187	육안검수오류유형별통계정보
1.3	691	190	대량등록파일오류내역
1.3	537	194	첨부파일(SM)
1.3	324	196	이관세부특수목록(RG)
1.3	307	196	이관건관계정보(RG)
1.3	363	196	정부간행물 전자파일업로드 데이터
1.3	223	197	이관철관계정보(RG)
1.3	435	202	발간등록신청(CAMS)
1.3	994	208	목록제공결과파일내역(CM)
1.3	1012	208	목록제공내역(CM)
1.3	1046	208	우편번호(CM)
1.3	1064	208	직종(CM)
1.3	977	208	대분류기초코드(CM)
1.3	961	208	소분류기초코드(CM)
