변형어	출현수	표준어(행안부)	표준약어	비고
ID	1898	아이디	ID	코멘트 ID→아이디 치환
년도	261	연도	YR	코멘트 년도→연도 치환
전	136	이전	BFR	코멘트 전→이전 치환
순번	125	일련번호	SN	코멘트 순번→일련번호 치환
세부	109	상세	DTL	코멘트 세부→상세 치환
스케줄	72	일정	SCHDL	코멘트 스케줄→일정 치환
이름	68	명	NM	코멘트 이름→명 치환
후	54	이후	AFTR	코멘트 후→이후 치환
페이지	46	쪽	PAGE	코멘트 페이지→쪽 치환
인수인	42	인수자	ACPTR	코멘트 인수인→인수자 치환
박물	38	박물관	MSM	코멘트 박물→박물관 치환
책	34	도서	BOOK	코멘트 책→도서 치환
관련	31	관계	REL	코멘트 관련→관계 치환
데이터	28	자료	DATA	코멘트 데이터→자료 치환
공문서	25	공문	OFDOC	코멘트 공문서→공문 치환
암호	25	비밀번호	PSWD	코멘트 암호→비밀번호 치환
붙임	18	첨부	ATCH	코멘트 붙임→첨부 치환
날짜	17	일자	YMD	코멘트 날짜→일자 치환
에러	16	오류	ERR	코멘트 에러→오류 치환
유저	15	사용자	USER	코멘트 유저→사용자 치환
회차	15	차수	CYCL	코멘트 회차→차수 치환
년월	15	연월	YM	코멘트 년월→연월 치환
사이즈	14	크기	SZ	코멘트 사이즈→크기 치환
메세지	10	메시지	MSG	코멘트 메세지→메시지 치환
오픈	10	공개	RLS	코멘트 오픈→공개 치환
명칭	10	명	NM	코멘트 명칭→명 치환
총계	9	합계	SUM	코멘트 총계→합계 치환
전자우편	9	이메일	EML	코멘트 전자우편→이메일 치환
홈페이지	9	누리집	HMPG	코멘트 홈페이지→누리집 치환
신청인	9	신청자	APLCNT	코멘트 신청인→신청자 치환
무게	6	중량	WGHT	코멘트 무게→중량 치환
타입	5	유형	TYPE	코멘트 타입→유형 치환
지름	5	직경	DMTR	코멘트 지름→직경 치환
원저자	5	원작자	OATHR	코멘트 원저자→원작자 치환
업데이트	5	갱신	UPDT	코멘트 업데이트→갱신 치환
연번	4	일련번호	SN	코멘트 연번→일련번호 치환
율	4	비율	RT	코멘트 율→비율 치환
태스크	4	업무	TASK	코멘트 태스크→업무 치환
미디어	3	매체	MEDIA	코멘트 미디어→매체 치환
연관	3	관계	REL	코멘트 연관→관계 치환
카테고리	3	범주	CTGRY	코멘트 카테고리→범주 치환
보수	3	급여	SLRY	코멘트 보수→급여 치환
패스워드	3	비밀번호	PSWD	코멘트 패스워드→비밀번호 치환
의뢰자	3	의뢰인	RQSR	코멘트 의뢰자→의뢰인 치환
페이퍼	3	종이	PAPER	코멘트 페이퍼→종이 치환
패스	3	경로	PATH	코멘트 패스→경로 치환
시퀀스	2	순서	SEQ	코멘트 시퀀스→순서 치환
송신	2	전송	TRSM	코멘트 송신→전송 치환
구입	2	구매	PRCHS	코멘트 구입→구매 치환
직권	2	권한	AUTHRT	코멘트 직권→권한 치환
도구	2	공구	TOOL	코멘트 도구→공구 치환
휘발성유기화합물	2	VOC	VOC	코멘트 휘발성유기화합물→VOC 치환
나이	1	연령	AGE	코멘트 나이→연령 치환
명수	1	인원수	NOPE	코멘트 명수→인원수 치환
공백	1	널	NUL	코멘트 공백→널 치환
지체	1	지연	DLY	코멘트 지체→지연 치환
파라미터	1	변수	VRBL	코멘트 파라미터→변수 치환
스캔	1	스캐닝	SCAN	코멘트 스캔→스캐닝 치환
샘플	1	표본	SAMPLE	코멘트 샘플→표본 치환
